model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LinearRegression,0,6,nhSICjfm,slow,1714.5,2005.5,0.4,15,1,1,14.371911840493112,0.6262008071052728,594,"['11_lag_stratZ50ndj03', '1_lag_nhSICsep', '11_lag_atlSICsep', '6_lag_AMOCann', '13_lag_nppc2SSTjfm', '8_lag_stratZ50ndj02']","[0.0895831039560972, 0.45032157071293694, 0.1505189131170316, 0.2630288212536229, 0.2071522552064779, 0.0034355745737779386]","11_lag_stratZ50ndj03, 1_lag_nhSICsep, 11_lag_atlSICsep, 6_lag_AMOCann, 13_lag_nppc2SSTjfm, 8_lag_stratZ50ndj02_594_1"
LinearRegression,1,6,nhSICjfm,slow,1715.5,2005.5,0.4,16,1,1,12.452603451038225,0.7168797617074413,638,"['6_lag_shSICmar', '1_lag_nhSICsep', '13_lag_nppc2SSTjfm', '11_lag_stratZ50ndj03', '8_lag_stratZ50ndj02', '11_lag_atlSICsep']","[0.23519599714490597, 0.5022041180647341, 0.10805405262721524, 0.1457177987800871, 0.017802808971412187, 0.128218013331517]","6_lag_shSICmar, 1_lag_nhSICsep, 13_lag_nppc2SSTjfm, 11_lag_stratZ50ndj03, 8_lag_stratZ50ndj02, 11_lag_atlSICsep_638_1"
LinearRegression,2,6,nhSICjfm,slow,1716.5,2005.5,0.4,17,1,1,15.198090127688578,0.5365288583884191,682,"['8_lag_stratZ50ndj02', '1_lag_stratZ50ndj01', '1_lag_atlSICsep', '11_lag_atlSICsep', '11_lag_stratZ50ndj03', '13_lag_nppc2SSTjfm']","[0.12610372217764004, 0.07181339337811349, 0.3524452002113181, 0.16250333898870978, 0.1278230835025072, 0.053059382928493465]","8_lag_stratZ50ndj02, 1_lag_stratZ50ndj01, 1_lag_atlSICsep, 11_lag_atlSICsep, 11_lag_stratZ50ndj03, 13_lag_nppc2SSTjfm_682_1"
LinearRegression,3,6,nhSICjfm,slow,1717.5,2005.5,0.4,18,1,1,21.062772841782117,0.028278644863642125,726,"['9_lag_eurPSLjfm', '8_lag_shSICmar', '1_lag_stratZ50ndj01', '13_lag_nppc2SSTjfm', '15_lag_eurPSLjfm', '11_lag_stratZ50ndj03']","[0.06778642641451108, 0.15102923644377525, 0.06408058321739141, 0.05922680235446774, 0.050442689088029916, 0.16587680330145363]","9_lag_eurPSLjfm, 8_lag_shSICmar, 1_lag_stratZ50ndj01, 13_lag_nppc2SSTjfm, 15_lag_eurPSLjfm, 11_lag_stratZ50ndj03_726_1"
LinearRegression,4,6,nhSICjfm,slow,1718.5,2005.5,0.4,19,1,1,20.71048757423156,0.06375242497260007,770,"['18_lag_nppc2SSTjfm', '13_lag_nppc2SSTjfm', '18_lag_stratZ50ndj01', '15_lag_eurPSLjfm', '1_lag_stratZ50ndj01', '11_lag_stratZ50ndj03']","[0.2135770572563158, 0.05644915242621712, 0.044143488942839634, 0.04367949143401985, 0.09610990590853502, 0.19443228439635352]","18_lag_nppc2SSTjfm, 13_lag_nppc2SSTjfm, 18_lag_stratZ50ndj01, 15_lag_eurPSLjfm, 1_lag_stratZ50ndj01, 11_lag_stratZ50ndj03_770_1"
LinearRegression,5,6,nhSICjfm,slow,1719.5,2005.5,0.4,20,1,1,21.311556469619678,-0.09991331787405511,814,"['17_lag_atlSICsep', '15_lag_eurPSLjfm', '1_lag_stratZ50ndj01', '18_lag_stratZ50ndj01', '13_lag_nppc2SSTjfm', '11_lag_stratZ50ndj03']","[0.01865109809028416, 0.05053439221168364, 0.07261201019480325, 0.05844783990880367, 0.056340648878472226, 0.1945928772608299]","17_lag_atlSICsep, 15_lag_eurPSLjfm, 1_lag_stratZ50ndj01, 18_lag_stratZ50ndj01, 13_lag_nppc2SSTjfm, 11_lag_stratZ50ndj03_814_1"
LinearRegression,6,6,nhSICjfm,slow,1720.5,2005.5,0.4,21,1,1,22.54311913628035,-0.05525206925717363,858,"['17_lag_atlSICsep', '19_lag_eapPSLjfm', '1_lag_stratZ50ndj01', '18_lag_stratZ50ndj01', '11_lag_stratZ50ndj03', '13_lag_nppc2SSTjfm']","[0.027084960716009136, 0.2173416307545119, 0.10520029571794798, 0.04244396465253347, 0.17029166957590408, 0.10411190003662701]","17_lag_atlSICsep, 19_lag_eapPSLjfm, 1_lag_stratZ50ndj01, 18_lag_stratZ50ndj01, 11_lag_stratZ50ndj03, 13_lag_nppc2SSTjfm_858_1"
LinearRegression,7,6,nhSICjfm,slow,1721.5,2005.5,0.4,22,1,1,22.644840625014297,-0.06442628505937,902,"['17_lag_atlSICsep', '16_lag_scpPSLjfm', '19_lag_eapPSLjfm', '13_lag_nppc2SSTjfm', '1_lag_stratZ50ndj01', '11_lag_stratZ50ndj03']","[0.053339578900004486, 0.15498986904182852, 0.22683110325957195, 0.11440208919457256, 0.13573909821085686, 0.1544491147863722]","17_lag_atlSICsep, 16_lag_scpPSLjfm, 19_lag_eapPSLjfm, 13_lag_nppc2SSTjfm, 1_lag_stratZ50ndj01, 11_lag_stratZ50ndj03_902_1"
LinearRegression,8,6,nhSICjfm,slow,1722.5,2005.5,0.4,23,1,1,22.099753165515686,-0.03808571361939571,946,"['18_lag_stratZ50ndj01', '16_lag_scpPSLjfm', '13_lag_nppc2SSTjfm', '1_lag_stratZ50ndj01', '19_lag_eapPSLjfm', '11_lag_stratZ50ndj03']","[0.05720635931708677, 0.15786549916465273, 0.10514411134721906, 0.12834044585917612, 0.21854988243602647, 0.15194088434768313]","18_lag_stratZ50ndj01, 16_lag_scpPSLjfm, 13_lag_nppc2SSTjfm, 1_lag_stratZ50ndj01, 19_lag_eapPSLjfm, 11_lag_stratZ50ndj03_946_1"
LinearRegression,9,6,nhSICjfm,slow,1723.5,2005.5,0.4,24,1,1,22.299926655890015,-0.04540719665712978,990,"['18_lag_stratZ50ndj01', '1_lag_stratZ50ndj01', '13_lag_nppc2SSTjfm', '16_lag_scpPSLjfm', '19_lag_eapPSLjfm', '11_lag_stratZ50ndj03']","[0.051160862786628694, 0.13908836467044708, 0.10585468783664242, 0.15792117245881332, 0.21648952935452784, 0.15100847775266812]","18_lag_stratZ50ndj01, 1_lag_stratZ50ndj01, 13_lag_nppc2SSTjfm, 16_lag_scpPSLjfm, 19_lag_eapPSLjfm, 11_lag_stratZ50ndj03_990_1"
