model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LinearRegression,0,10,nchinaPRjja,picntrl,1514.5,2050.5,0.6,15,1,1,14.818873358323959,0.06460955587588545,1728,"['14_lag_atlSICjfm', '3_lag_amoSSTmjjaso', '5_lag_seurTSjfm', '11_lag_tripol3', '6_lag_stratZ50ndj04', '7_lag_stratZ50ndj04', '13_lag_traDS', '7_lag_nchinaPRjja', '12_lag_ismPRjja', '1_lag_nchinaPRjja']","[0.16269257713926344, 0.0009022877745377689, 0.08211673057678913, 0.10107024131598338, 0.12537289559830395, 0.12796196004569171, 0.15139607205075634, 0.1727289311089502, 0.08748993025546131, 0.08330520055903788]","14_lag_atlSICjfm, 3_lag_amoSSTmjjaso, 5_lag_seurTSjfm, 11_lag_tripol3, 6_lag_stratZ50ndj04, 7_lag_stratZ50ndj04, 13_lag_traDS, 7_lag_nchinaPRjja, 12_lag_ismPRjja, 1_lag_nchinaPRjja_1728_1"
LinearRegression,1,10,nchinaPRjja,picntrl,1515.5,2050.5,0.6,16,1,1,14.671094364359801,0.06056396032388411,1856,"['6_lag_traEU', '6_lag_traWP', '6_lag_stratZ50ndj04', '12_lag_yrvPRjja', '7_lag_stratZ50ndj04', '1_lag_nppc3SSTjfm', '12_lag_ismPRjja', '13_lag_traDS', '7_lag_nchinaPRjja', '1_lag_nchinaPRjja']","[0.08337761762255273, 0.0829661065785343, 0.11825963557954917, 0.14213438214502608, 0.1308948810911585, 0.13464771040809118, 0.0602069413200349, 0.09089151790550384, 0.1672007244391055, 0.05810691326589773]","6_lag_traEU, 6_lag_traWP, 6_lag_stratZ50ndj04, 12_lag_yrvPRjja, 7_lag_stratZ50ndj04, 1_lag_nppc3SSTjfm, 12_lag_ismPRjja, 13_lag_traDS, 7_lag_nchinaPRjja, 1_lag_nchinaPRjja_1856_1"
LinearRegression,2,10,nchinaPRjja,picntrl,1516.5,2050.5,0.6,17,1,1,15.009870499235975,0.0015648369177149383,1984,"['12_lag_yrvPRjja', '8_lag_traBS', '5_lag_seurTSjfm', '6_lag_stratZ50ndj04', '16_lag_traFB', '12_lag_ismPRjja', '13_lag_traDS', '16_lag_atlSICsep', '7_lag_nchinaPRjja', '1_lag_nchinaPRjja']","[0.12004743232488936, 0.10404421677143628, 0.08175515279272128, 0.08299492707310799, 0.03748160203860923, 0.05219680560004511, 0.1130813124416491, 0.2394361530404713, 0.1800789654029085, 0.04710952756759509]","12_lag_yrvPRjja, 8_lag_traBS, 5_lag_seurTSjfm, 6_lag_stratZ50ndj04, 16_lag_traFB, 12_lag_ismPRjja, 13_lag_traDS, 16_lag_atlSICsep, 7_lag_nchinaPRjja, 1_lag_nchinaPRjja_1984_1"
LinearRegression,3,10,nchinaPRjja,picntrl,1517.5,2050.5,0.6,18,1,1,14.642154222438787,0.01366832759767981,2112,"['9_lag_atlSICsep', '6_lag_stratZ50ndj04', '13_lag_traDS', '12_lag_yrvPRjja', '1_lag_nppc3SSTjfm', '12_lag_ismPRjja', '16_lag_traFB', '16_lag_atlSICsep', '7_lag_nchinaPRjja', '1_lag_nchinaPRjja']","[0.13439835142438739, 0.08618084073390087, 0.0828674730459439, 0.12673065372697623, 0.15368202257026434, 0.0631306692896748, 0.053623349105656484, 0.24521938151495395, 0.17918431515658573, 0.06028275130584064]","9_lag_atlSICsep, 6_lag_stratZ50ndj04, 13_lag_traDS, 12_lag_yrvPRjja, 1_lag_nppc3SSTjfm, 12_lag_ismPRjja, 16_lag_traFB, 16_lag_atlSICsep, 7_lag_nchinaPRjja, 1_lag_nchinaPRjja_2112_1"
LinearRegression,4,10,nchinaPRjja,picntrl,1518.5,2050.5,0.6,19,1,1,15.098778882935115,-0.012234562219564591,2240,"['6_lag_stratZ50ndj04', '8_lag_traBS', '13_lag_traDS', '18_lag_yrvPRjja', '16_lag_traFB', '12_lag_yrvPRjja', '16_lag_atlSICsep', '12_lag_ismPRjja', '7_lag_nchinaPRjja', '1_lag_nchinaPRjja']","[0.08321090637216273, 0.09695031340033161, 0.10772730692175198, 0.00900227066458744, 0.04097788956211523, 0.1262215089252824, 0.24556054918696368, 0.05513351408654185, 0.1907096501619317, 0.05203647409301446]","6_lag_stratZ50ndj04, 8_lag_traBS, 13_lag_traDS, 18_lag_yrvPRjja, 16_lag_traFB, 12_lag_yrvPRjja, 16_lag_atlSICsep, 12_lag_ismPRjja, 7_lag_nchinaPRjja, 1_lag_nchinaPRjja_2240_1"
LinearRegression,5,10,nchinaPRjja,picntrl,1519.5,2050.5,0.6,20,1,1,15.314649352395946,-0.01695629006502866,2368,"['6_lag_stratZ50ndj04', '16_lag_traFB', '3_lag_satlSSTjfm', '13_lag_traDS', '1_lag_nppc3SSTjfm', '12_lag_yrvPRjja', '12_lag_ismPRjja', '16_lag_atlSICsep', '7_lag_nchinaPRjja', '1_lag_nchinaPRjja']","[0.08352464323033097, 0.017285722594347963, 0.19927923387803156, 0.06434951959242766, 0.15490982924366323, 0.13395860939246534, 0.05509744294543218, 0.25361980058597866, 0.20271180201111666, 0.05575182342140509]","6_lag_stratZ50ndj04, 16_lag_traFB, 3_lag_satlSSTjfm, 13_lag_traDS, 1_lag_nppc3SSTjfm, 12_lag_yrvPRjja, 12_lag_ismPRjja, 16_lag_atlSICsep, 7_lag_nchinaPRjja, 1_lag_nchinaPRjja_2368_1"
LinearRegression,6,10,nchinaPRjja,picntrl,1520.5,2050.5,0.6,21,1,1,15.17994100990758,0.011201734406899574,2496,"['1_lag_nppc3SSTjfm', '8_lag_traBS', '16_lag_traFB', '16_lag_atlSICsep', '12_lag_yrvPRjja', '13_lag_traDS', '12_lag_ismPRjja', '18_lag_shSICmar', '7_lag_nchinaPRjja', '1_lag_nchinaPRjja']","[0.1411153367989146, 0.10062253606354285, 0.03751506931972731, 0.27651926330514, 0.14123748001905137, 0.06835552725287897, 0.05130366655897155, 0.1511318781735151, 0.20131026871898955, 0.06369451952948471]","1_lag_nppc3SSTjfm, 8_lag_traBS, 16_lag_traFB, 16_lag_atlSICsep, 12_lag_yrvPRjja, 13_lag_traDS, 12_lag_ismPRjja, 18_lag_shSICmar, 7_lag_nchinaPRjja, 1_lag_nchinaPRjja_2496_1"
LinearRegression,7,10,nchinaPRjja,picntrl,1521.5,2050.5,0.6,22,2,7,15.17841822267829,0.034246206635088275,2496,"['8_lag_traBS', '21_lag_traFS', '8_lag_yrvPRjja', '16_lag_alpi', '16_lag_traFB', '13_lag_traDS', '12_lag_yrvPRjja', '12_lag_ismPRjja', '7_lag_nchinaPRjja', '18_lag_shSICmar']","[0.09822522281236849, 0.19918496264577443, 0.045750139992553146, 0.08746034299651426, 0.060539437546145096, 0.08030743265644798, 0.15551419381915638, 0.028085972489165, 0.17939365921667266, 0.12418217664969076]","8_lag_traBS, 21_lag_traFS, 8_lag_yrvPRjja, 16_lag_alpi, 16_lag_traFB, 13_lag_traDS, 12_lag_yrvPRjja, 12_lag_ismPRjja, 7_lag_nchinaPRjja, 18_lag_shSICmar_2496_7"
LinearRegression,8,10,nchinaPRjja,picntrl,1522.5,2050.5,0.6,23,3,3,15.420713883318337,0.008617555474369808,2496,"['22_lag_amo2', '8_lag_traBS', '21_lag_traFS', '12_lag_yrvPRjja', '3_lag_satlSSTjfm', '16_lag_alpi', '13_lag_traDS', '12_lag_ismPRjja', '18_lag_shSICmar', '7_lag_nchinaPRjja']","[0.07286790261406041, 0.0941345289183271, 0.20977245404272546, 0.1479101292927136, 0.18249445318566143, 0.08171100731592387, 0.06683384696638311, 0.03988250408427104, 0.09298645833642705, 0.17339326543082817]","22_lag_amo2, 8_lag_traBS, 21_lag_traFS, 12_lag_yrvPRjja, 3_lag_satlSSTjfm, 16_lag_alpi, 13_lag_traDS, 12_lag_ismPRjja, 18_lag_shSICmar, 7_lag_nchinaPRjja_2496_3"
LinearRegression,9,10,nchinaPRjja,picntrl,1523.5,2050.5,0.6,24,4,7,15.342711017388895,0.052264903845325,2496,"['23_lag_nppc3SSTjfm', '21_lag_traFS', '11_lag_yrvPRjja', '12_lag_yrvPRjja', '8_lag_traBS', '16_lag_stratZ50ndj03', '18_lag_shSICmar', '12_lag_ismPRjja', '13_lag_traDS', '7_lag_nchinaPRjja']","[0.10437773018128846, 0.19583092779309846, 0.11607480440284532, 0.1315429119427316, 0.10065416968575149, 0.09530516099616276, 0.1347955557652724, 0.05223279658270775, 0.10570723789826728, 0.16992728886464004]","23_lag_nppc3SSTjfm, 21_lag_traFS, 11_lag_yrvPRjja, 12_lag_yrvPRjja, 8_lag_traBS, 16_lag_stratZ50ndj03, 18_lag_shSICmar, 12_lag_ismPRjja, 13_lag_traDS, 7_lag_nchinaPRjja_2496_7"
