model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LinearRegression,0,30,shSICsep,shigh,1514.5,2005.5,0.4,15,1,1,11.686358678415045,0.7438605655275162,1755,"['6_lag_traTLS', '8_lag_neurTSjfm', '4_lag_scpPSLjfm', '5_lag_cetTSjfm', '6_lag_cetTSjfm', '12_lag_stratZ50ndj02', '6_lag_stratZ50ndj03', '14_lag_ginwSSTjfm', '6_lag_mhfATL30', '8_lag_stratZ50ndj01', '1_lag_traEU', '12_lag_neurTSjfm', '11_lag_satlSSTjfm', '6_lag_traEC', '13_lag_traCA', '13_lag_traFSC', '3_lag_eurPSLjfm', '7_lag_stratZ50ndj02', '3_lag_ismPRjja', '1_lag_traMC', '12_lag_traEC', '11_lag_atlSICjfm', '4_lag_stratZ50ndj04', '14_lag_traMC', '13_lag_stratZ50ndj03', '4_lag_nchinaPRjja', '8_lag_eurPSLjfm', '11_lag_yrvPRjja', '1_lag_shSICsep', '7_lag_scpPSLjfm']","[0.06826899617633973, 0.061976111741003564, 0.03344383159498456, 0.04120799847831214, 0.02849352952333468, 0.0024912643015261703, 0.024430550350647427, 0.13630350757110044, 0.08662348910778137, 0.07463575194607708, 0.07716025463770523, 0.08635082425927905, 0.29114576311364565, 0.023453007408275474, 0.15595382122161294, 0.019311250326656867, 0.011414031636407489, 0.005773519054857547, 0.05976508479737182, 0.060020189158068275, 0.1036785552819306, 0.15133582285776248, 0.09270356623278794, 0.07750556021060492, 0.07068083506723202, 0.0819054105996315, 0.06927698580417868, 0.1472191840554123, 0.63928102840167, 0.02887653411573239]","6_lag_traTLS, 8_lag_neurTSjfm, 4_lag_scpPSLjfm, 5_lag_cetTSjfm, 6_lag_cetTSjfm, 12_lag_stratZ50ndj02, 6_lag_stratZ50ndj03, 14_lag_ginwSSTjfm, 6_lag_mhfATL30, 8_lag_stratZ50ndj01, 1_lag_traEU, 12_lag_neurTSjfm, 11_lag_satlSSTjfm, 6_lag_traEC, 13_lag_traCA, 13_lag_traFSC, 3_lag_eurPSLjfm, 7_lag_stratZ50ndj02, 3_lag_ismPRjja, 1_lag_traMC, 12_lag_traEC, 11_lag_atlSICjfm, 4_lag_stratZ50ndj04, 14_lag_traMC, 13_lag_stratZ50ndj03, 4_lag_nchinaPRjja, 8_lag_eurPSLjfm, 11_lag_yrvPRjja, 1_lag_shSICsep, 7_lag_scpPSLjfm_1755_1"
LinearRegression,1,30,shSICsep,shigh,1515.5,2005.5,0.4,16,1,1,12.107023472881348,0.7279336662871382,1885,"['5_lag_cetTSjfm', '13_lag_traBO', '4_lag_scpPSLjfm', '15_lag_atlSICjfm', '7_lag_stratZ50ndj04', '14_lag_traMC', '6_lag_traEC', '1_lag_nchinaPRjja', '1_lag_traEU', '3_lag_ismPRjja', '13_lag_traCA', '11_lag_atlSICjfm', '1_lag_traMC', '6_lag_mhfATL30', '13_lag_traFSC', '8_lag_stratZ50ndj01', '7_lag_stratZ50ndj02', '14_lag_ginwSSTjfm', '12_lag_neurTSjfm', '4_lag_stratZ50ndj04', '11_lag_satlSSTjfm', '6_lag_cetTSjfm', '3_lag_eurPSLjfm', '4_lag_nchinaPRjja', '12_lag_traEC', '13_lag_stratZ50ndj03', '8_lag_eurPSLjfm', '11_lag_yrvPRjja', '1_lag_shSICsep', '7_lag_scpPSLjfm']","[0.04063036338845226, 0.15590233669316084, 0.032176036829504456, 0.02546026200729401, 0.12458703529423563, 0.0825734439528477, 0.0069100881244582415, 0.03299064707107031, 0.07446783130078741, 0.05530841684635118, 0.10552673358453808, 0.14885250314354065, 0.06164994620272177, 0.1029733365310774, 0.028187001427461944, 0.04709719157400711, 6.949649660851007e-05, 0.14246703660942622, 0.07658294656449592, 0.03802737591194003, 0.29535086416674095, 0.02833896514138038, 0.02496509121445216, 0.08950963639416883, 0.09108205187578902, 0.07924128236263105, 0.0763543314998243, 0.14685391135941062, 0.6025554360407208, 0.027076993249269418]","5_lag_cetTSjfm, 13_lag_traBO, 4_lag_scpPSLjfm, 15_lag_atlSICjfm, 7_lag_stratZ50ndj04, 14_lag_traMC, 6_lag_traEC, 1_lag_nchinaPRjja, 1_lag_traEU, 3_lag_ismPRjja, 13_lag_traCA, 11_lag_atlSICjfm, 1_lag_traMC, 6_lag_mhfATL30, 13_lag_traFSC, 8_lag_stratZ50ndj01, 7_lag_stratZ50ndj02, 14_lag_ginwSSTjfm, 12_lag_neurTSjfm, 4_lag_stratZ50ndj04, 11_lag_satlSSTjfm, 6_lag_cetTSjfm, 3_lag_eurPSLjfm, 4_lag_nchinaPRjja, 12_lag_traEC, 13_lag_stratZ50ndj03, 8_lag_eurPSLjfm, 11_lag_yrvPRjja, 1_lag_shSICsep, 7_lag_scpPSLjfm_1885_1"
LinearRegression,2,30,shSICsep,shigh,1516.5,2005.5,0.4,17,1,1,10.843387034787293,0.7588494784255392,2015,"['13_lag_traFSC', '11_lag_traFSC', '15_lag_atlSICjfm', '15_lag_scpPSLjfm', '11_lag_ismPRjja', '11_lag_satlSSTjfm', '13_lag_traCA', '14_lag_ginwSSTjfm', '15_lag_seurTSjfm', '1_lag_alpi', '12_lag_traEC', '3_lag_shSICsep', '7_lag_stratZ50ndj02', '1_lag_3_median_shSICsep', '4_lag_nchinaPRjja', '1_lag_2_median_shSICsep', '2_lag_shSICsep', '16_lag_stratZ50ndj02', '8_lag_yrvPRjja', '13_lag_traBO', '1_lag_traEU', '11_lag_atlSICjfm', '6_lag_mhfATL30', '3_lag_eurPSLjfm', '13_lag_stratZ50ndj03', '8_lag_eurPSLjfm', '16_lag_traMC', '11_lag_yrvPRjja', '7_lag_scpPSLjfm', '1_lag_shSICsep']","[0.027093835929193184, 0.0034184201590069796, 0.00022289150458356375, 0.08234690218956993, 0.06252519498722206, 0.24797108591208786, 0.11611026161834984, 0.18104055616112277, 0.09200335414220376, 0.03792538709627753, 0.049150487186359504, 480908457012.10754, 0.02729083795924601, 961816914024.4076, 0.056353710045657764, 240310959455.1517, 240597497556.94656, 0.026875992720693936, 0.0946029204313472, 0.16992161085189408, 0.07946622138486313, 0.1490747321830681, 0.15468486080514454, 0.029405196524743504, 0.10070456717272076, 0.042679124327938474, 0.11050109859275306, 0.0786363123798482, 0.04028810837563216, 0.45093080722889956]","13_lag_traFSC, 11_lag_traFSC, 15_lag_atlSICjfm, 15_lag_scpPSLjfm, 11_lag_ismPRjja, 11_lag_satlSSTjfm, 13_lag_traCA, 14_lag_ginwSSTjfm, 15_lag_seurTSjfm, 1_lag_alpi, 12_lag_traEC, 3_lag_shSICsep, 7_lag_stratZ50ndj02, 1_lag_3_median_shSICsep, 4_lag_nchinaPRjja, 1_lag_2_median_shSICsep, 2_lag_shSICsep, 16_lag_stratZ50ndj02, 8_lag_yrvPRjja, 13_lag_traBO, 1_lag_traEU, 11_lag_atlSICjfm, 6_lag_mhfATL30, 3_lag_eurPSLjfm, 13_lag_stratZ50ndj03, 8_lag_eurPSLjfm, 16_lag_traMC, 11_lag_yrvPRjja, 7_lag_scpPSLjfm, 1_lag_shSICsep_2015_1"
LinearRegression,3,30,shSICsep,shigh,1517.5,2005.5,0.4,18,1,1,11.015732411751538,0.784294155834591,2145,"['1_lag_4_median_shSICsep', '8_lag_yrvPRjja', '10_lag_stratZ50ndj02', '11_lag_satlSSTjfm', '11_lag_atlSICjfm', '6_lag_mhfATL30', '14_lag_ginwSSTjfm', '9_lag_eurPSLjfm', '12_lag_traEC', '8_lag_eurPSLjfm', '17_lag_stratZ50ndj04', '16_lag_traMC', '3_lag_shSICsep', '7_lag_stratZ50ndj02', '1_lag_3_median_shSICsep', '17_lag_traIFC', '11_lag_ismPRjja', '4_lag_nchinaPRjja', '13_lag_traBO', '1_lag_2_median_shSICsep', '2_lag_shSICsep', '1_lag_traEU', '16_lag_stratZ50ndj02', '3_lag_eurPSLjfm', '17_lag_stratZ50ndj03', '1_lag_alpi', '13_lag_stratZ50ndj03', '11_lag_yrvPRjja', '7_lag_scpPSLjfm', '1_lag_shSICsep']","[0.2883064887712093, 0.08521980820720912, 0.054527021626131815, 0.19760900348868105, 0.11613989128126466, 0.11859819880414257, 0.13379879610427906, 0.06092229400070304, 0.05650181537254746, 0.037752897992190615, 0.14201125173865922, 0.058952747927359855, 355155984759.95416, 0.0033151963868337216, 710311969519.8566, 0.08793193945882798, 0.06279980285174486, 0.05784781247011253, 0.21907401015110883, 177578290443.7002, 177577694316.2497, 0.05092285722882945, 0.03675685482341833, 0.0786623499801959, 0.07506829860247646, 0.07782295102284334, 0.09433655321760026, 0.08246229111376359, 0.03758455720086015, 0.42116286727622376]","1_lag_4_median_shSICsep, 8_lag_yrvPRjja, 10_lag_stratZ50ndj02, 11_lag_satlSSTjfm, 11_lag_atlSICjfm, 6_lag_mhfATL30, 14_lag_ginwSSTjfm, 9_lag_eurPSLjfm, 12_lag_traEC, 8_lag_eurPSLjfm, 17_lag_stratZ50ndj04, 16_lag_traMC, 3_lag_shSICsep, 7_lag_stratZ50ndj02, 1_lag_3_median_shSICsep, 17_lag_traIFC, 11_lag_ismPRjja, 4_lag_nchinaPRjja, 13_lag_traBO, 1_lag_2_median_shSICsep, 2_lag_shSICsep, 1_lag_traEU, 16_lag_stratZ50ndj02, 3_lag_eurPSLjfm, 17_lag_stratZ50ndj03, 1_lag_alpi, 13_lag_stratZ50ndj03, 11_lag_yrvPRjja, 7_lag_scpPSLjfm, 1_lag_shSICsep_2145_1"
LinearRegression,4,30,shSICsep,shigh,1518.5,2005.5,0.4,19,1,1,15.464841362532848,0.5958416826128993,2275,"['12_lag_ismPRjja', '16_lag_traMC', '17_lag_ginwSSTjfm', '12_lag_traEC', '17_lag_traIFC', '16_lag_stratZ50ndj02', '16_lag_traBS', '9_lag_eurPSLjfm', '17_lag_stratZ50ndj04', '14_lag_ginwSSTjfm', '10_lag_scpPSLjfm', '11_lag_ismPRjja', '1_lag_4_median_shSICsep', '1_lag_traEU', '6_lag_mhfATL30', '8_lag_traEU', '17_lag_stratZ50ndj03', '3_lag_eurPSLjfm', '3_lag_shSICsep', '1_lag_alpi', '1_lag_3_median_shSICsep', '13_lag_stratZ50ndj03', '4_lag_nchinaPRjja', '2_lag_shSICsep', '1_lag_2_median_shSICsep', '8_lag_eurPSLjfm', '13_lag_traBO', '11_lag_yrvPRjja', '7_lag_scpPSLjfm', '1_lag_shSICsep']","[0.01407168217653405, 0.10184453466366211, 0.11523919616701912, 0.20289036561222196, 0.0900473729655959, 0.04512139925794574, 0.23151331672414283, 0.11151118316427357, 0.49742557384082736, 0.2005798876827599, 0.004298923606285501, 0.21452243305495286, 0.42755170109057294, 0.18685832566099403, 0.023323275877390734, 0.33196573309517563, 0.13221331628977273, 0.06954406038939773, 18497395157796.98, 0.05006397244533352, 36994790315594.03, 0.018980627085875276, 0.13125174459062944, 9248699981045.78, 9248695176751.098, 0.28471732102592784, 0.11322532645052996, 0.01829316565198523, 0.2916882638308909, 0.1499505625218605]","12_lag_ismPRjja, 16_lag_traMC, 17_lag_ginwSSTjfm, 12_lag_traEC, 17_lag_traIFC, 16_lag_stratZ50ndj02, 16_lag_traBS, 9_lag_eurPSLjfm, 17_lag_stratZ50ndj04, 14_lag_ginwSSTjfm, 10_lag_scpPSLjfm, 11_lag_ismPRjja, 1_lag_4_median_shSICsep, 1_lag_traEU, 6_lag_mhfATL30, 8_lag_traEU, 17_lag_stratZ50ndj03, 3_lag_eurPSLjfm, 3_lag_shSICsep, 1_lag_alpi, 1_lag_3_median_shSICsep, 13_lag_stratZ50ndj03, 4_lag_nchinaPRjja, 2_lag_shSICsep, 1_lag_2_median_shSICsep, 8_lag_eurPSLjfm, 13_lag_traBO, 11_lag_yrvPRjja, 7_lag_scpPSLjfm, 1_lag_shSICsep_2275_1"
LinearRegression,5,30,shSICsep,shigh,1519.5,2005.5,0.4,20,1,1,10.367546826783045,0.7867962657335466,2405,"['16_lag_traFSC', '1_lag_traEU', '9_lag_eurPSLjfm', '16_lag_traMC', '16_lag_stratZ50ndj02', '9_lag_satlSSTjfm', '12_lag_traMC', '6_lag_mhfATL30', '17_lag_ginwSSTjfm', '11_lag_ismPRjja', '16_lag_traBS', '17_lag_stratZ50ndj04', '1_lag_4_median_shSICsep', '14_lag_ginwSSTjfm', '10_lag_scpPSLjfm', '8_lag_traEU', '8_lag_eurPSLjfm', '1_lag_alpi', '13_lag_stratZ50ndj03', '17_lag_stratZ50ndj03', '3_lag_shSICsep', '13_lag_traBO', '1_lag_3_median_shSICsep', '3_lag_eurPSLjfm', '2_lag_shSICsep', '1_lag_2_median_shSICsep', '4_lag_nchinaPRjja', '11_lag_yrvPRjja', '1_lag_shSICsep', '7_lag_scpPSLjfm']","[0.053861644187981735, 0.09273252407296331, 0.06993960461549845, 0.06110479734948636, 0.05508056834757276, 0.14760106324388608, 0.07860189510072053, 0.14094231998554185, 0.05455123488896497, 0.07469553021092462, 0.040577264653685635, 0.09825906604394623, 0.36562267430538015, 0.14442473580661216, 0.01481701045112716, 0.10978547314321278, 0.053542595157764064, 0.055684719842615395, 0.08040389166681118, 0.07112834319995187, 1181007850185.9492, 0.16635026180079227, 2362015700371.6855, 0.060967417316272914, 590503957028.3008, 590503893157.5154, 0.06305115266020472, 0.08030841612515377, 0.4279892857664376, 0.061330648669258865]","16_lag_traFSC, 1_lag_traEU, 9_lag_eurPSLjfm, 16_lag_traMC, 16_lag_stratZ50ndj02, 9_lag_satlSSTjfm, 12_lag_traMC, 6_lag_mhfATL30, 17_lag_ginwSSTjfm, 11_lag_ismPRjja, 16_lag_traBS, 17_lag_stratZ50ndj04, 1_lag_4_median_shSICsep, 14_lag_ginwSSTjfm, 10_lag_scpPSLjfm, 8_lag_traEU, 8_lag_eurPSLjfm, 1_lag_alpi, 13_lag_stratZ50ndj03, 17_lag_stratZ50ndj03, 3_lag_shSICsep, 13_lag_traBO, 1_lag_3_median_shSICsep, 3_lag_eurPSLjfm, 2_lag_shSICsep, 1_lag_2_median_shSICsep, 4_lag_nchinaPRjja, 11_lag_yrvPRjja, 1_lag_shSICsep, 7_lag_scpPSLjfm_2405_1"
LinearRegression,6,30,shSICsep,shigh,1520.5,2005.5,0.4,21,1,1,10.755545099680143,0.7788628730878131,2535,"['17_lag_stratZ50ndj04', '9_lag_satlSSTjfm', '17_lag_ginwSSTjfm', '8_lag_traEU', '10_lag_yrvPRjja', '20_lag_cetTSjfm', '6_lag_mhfATL30', '12_lag_traMC', '7_lag_stratZ50ndj02', '1_lag_traEU', '14_lag_ginwSSTjfm', '17_lag_traIFC', '1_lag_4_median_shSICsep', '10_lag_scpPSLjfm', '13_lag_stratZ50ndj03', '17_lag_stratZ50ndj03', '3_lag_eurPSLjfm', '3_lag_shSICsep', '8_lag_eurPSLjfm', '20_lag_stratZ50ndj02', '1_lag_3_median_shSICsep', '2_lag_shSICsep', '1_lag_alpi', '1_lag_2_median_shSICsep', '13_lag_traBO', '4_lag_nchinaPRjja', '11_lag_yrvPRjja', '20_lag_shSICsep', '1_lag_shSICsep', '7_lag_scpPSLjfm']","[0.09302774765518974, 0.16799434825854048, 0.012151546439088614, 0.10004354331007849, 0.06464574199475455, 0.021320638013030063, 0.12468965431245493, 0.08935323204809942, 0.017734686508935674, 0.05468029511970292, 0.11494509577832561, 0.1415277581539246, 0.3383868338548106, 0.025244832457705865, 0.09064851523944452, 0.09400601918910689, 0.07545879739530517, 233190053280.63382, 0.02870776913992977, 0.08006581386065434, 466380106561.3238, 116585962147.97467, 0.06368896742854975, 116604091132.71869, 0.20638656059750699, 0.06681470499001152, 0.09821838022148022, 0.040841932540067065, 0.37840765444530183, 0.042606699050185486]","17_lag_stratZ50ndj04, 9_lag_satlSSTjfm, 17_lag_ginwSSTjfm, 8_lag_traEU, 10_lag_yrvPRjja, 20_lag_cetTSjfm, 6_lag_mhfATL30, 12_lag_traMC, 7_lag_stratZ50ndj02, 1_lag_traEU, 14_lag_ginwSSTjfm, 17_lag_traIFC, 1_lag_4_median_shSICsep, 10_lag_scpPSLjfm, 13_lag_stratZ50ndj03, 17_lag_stratZ50ndj03, 3_lag_eurPSLjfm, 3_lag_shSICsep, 8_lag_eurPSLjfm, 20_lag_stratZ50ndj02, 1_lag_3_median_shSICsep, 2_lag_shSICsep, 1_lag_alpi, 1_lag_2_median_shSICsep, 13_lag_traBO, 4_lag_nchinaPRjja, 11_lag_yrvPRjja, 20_lag_shSICsep, 1_lag_shSICsep, 7_lag_scpPSLjfm_2535_1"
LinearRegression,7,30,shSICsep,shigh,1521.5,2005.5,0.4,22,1,1,10.799637374862316,0.7810279657948531,2665,"['20_lag_traIFC', '12_lag_labSSTjfm', '17_lag_traIFC', '8_lag_traEU', '18_lag_shSICsep', '7_lag_stratZ50ndj02', '21_lag_shSICsep', '10_lag_scpPSLjfm', '6_lag_mhfATL30', '1_lag_4_median_shSICsep', '21_lag_nchinaPRjja', '12_lag_traMC', '20_lag_yrvPRjja', '8_lag_neurTSjfm', '3_lag_shSICsep', '17_lag_stratZ50ndj03', '21_lag_samPSLann', '20_lag_stratZ50ndj02', '1_lag_3_median_shSICsep', '4_lag_nchinaPRjja', '1_lag_2_median_shSICsep', '2_lag_shSICsep', '1_lag_alpi', '13_lag_traBO', '8_lag_eurPSLjfm', '13_lag_stratZ50ndj03', '11_lag_yrvPRjja', '20_lag_shSICsep', '1_lag_shSICsep', '7_lag_scpPSLjfm']","[0.035665629279439344, 0.06635100223388149, 0.12203859327789326, 0.11952395079549417, 0.01284917725963233, 0.029319119035134004, 0.007235275304108343, 0.022887709957037473, 0.13086501033173148, 0.23182429324975068, 0.013510517335406352, 0.10678432461071709, 0.0006977734598111114, 0.05549595019680066, 0.0018856903019272345, 0.09781852446329485, 0.1090362582550633, 0.08069753532423955, 0.014047297900465092, 0.055572390473810664, 0.02620890549900492, 0.026208905499004974, 0.0773184120878211, 0.1743273285686851, 0.062321973463283206, 0.08325819290871997, 0.11856859086445387, 0.02536797422039201, 0.4137364919930641, 0.06852086386373091]","20_lag_traIFC, 12_lag_labSSTjfm, 17_lag_traIFC, 8_lag_traEU, 18_lag_shSICsep, 7_lag_stratZ50ndj02, 21_lag_shSICsep, 10_lag_scpPSLjfm, 6_lag_mhfATL30, 1_lag_4_median_shSICsep, 21_lag_nchinaPRjja, 12_lag_traMC, 20_lag_yrvPRjja, 8_lag_neurTSjfm, 3_lag_shSICsep, 17_lag_stratZ50ndj03, 21_lag_samPSLann, 20_lag_stratZ50ndj02, 1_lag_3_median_shSICsep, 4_lag_nchinaPRjja, 1_lag_2_median_shSICsep, 2_lag_shSICsep, 1_lag_alpi, 13_lag_traBO, 8_lag_eurPSLjfm, 13_lag_stratZ50ndj03, 11_lag_yrvPRjja, 20_lag_shSICsep, 1_lag_shSICsep, 7_lag_scpPSLjfm_2665_1"
LinearRegression,8,30,shSICsep,shigh,1522.5,2005.5,0.4,23,1,1,11.15720968918265,0.7951248002143808,2795,"['1_lag_traEU', '3_lag_eurPSLjfm', '12_lag_labSSTjfm', '16_lag_traFSC', '9_lag_eurPSLjfm', '7_lag_stratZ50ndj02', '3_lag_shSICsep', '12_lag_traMC', '7_lag_traEU', '12_lag_nhSICsep', '13_lag_yrvPRjja', '22_lag_shSICmar', '8_lag_neurTSjfm', '6_lag_mhfATL30', '21_lag_nchinaPRjja', '21_lag_samPSLann', '1_lag_3_median_shSICsep', '17_lag_stratZ50ndj03', '2_lag_shSICsep', '1_lag_2_median_shSICsep', '20_lag_yrvPRjja', '4_lag_nchinaPRjja', '1_lag_alpi', '11_lag_yrvPRjja', '13_lag_traBO', '8_lag_eurPSLjfm', '13_lag_stratZ50ndj03', '20_lag_shSICsep', '1_lag_shSICsep', '7_lag_scpPSLjfm']","[0.06689184687947408, 0.039490951994109735, 0.1038562886278078, 0.03013625586398715, 0.061932641012866774, 0.032605913112592776, 211381012805.62375, 0.09627792106979187, 0.02832909321344316, 0.10059800747674766, 0.04604231721173787, 0.09264927062358592, 0.0798616297590115, 0.08252179885916096, 0.04309475509600879, 0.09263444005034857, 422762025611.4525, 0.06485980418629256, 105690193999.36388, 105690818806.24187, 0.03700441074970612, 0.021800864823868105, 0.05402374553166708, 0.12206788056000994, 0.09454054863432475, 0.04973403714227974, 0.08389076030673429, 0.04579992386862561, 0.46936060250685896, 0.05217018175539709]","1_lag_traEU, 3_lag_eurPSLjfm, 12_lag_labSSTjfm, 16_lag_traFSC, 9_lag_eurPSLjfm, 7_lag_stratZ50ndj02, 3_lag_shSICsep, 12_lag_traMC, 7_lag_traEU, 12_lag_nhSICsep, 13_lag_yrvPRjja, 22_lag_shSICmar, 8_lag_neurTSjfm, 6_lag_mhfATL30, 21_lag_nchinaPRjja, 21_lag_samPSLann, 1_lag_3_median_shSICsep, 17_lag_stratZ50ndj03, 2_lag_shSICsep, 1_lag_2_median_shSICsep, 20_lag_yrvPRjja, 4_lag_nchinaPRjja, 1_lag_alpi, 11_lag_yrvPRjja, 13_lag_traBO, 8_lag_eurPSLjfm, 13_lag_stratZ50ndj03, 20_lag_shSICsep, 1_lag_shSICsep, 7_lag_scpPSLjfm_2795_1"
LinearRegression,9,30,shSICsep,shigh,1523.5,2005.5,0.4,24,1,1,11.088111617898907,0.7909162712787607,2925,"['11_lag_labSSTjfm', '22_lag_shSICmar', '23_lag_nchinaPRjja', '6_lag_mhfATL30', '16_lag_samPSLann', '17_lag_eapPSLjfm', '7_lag_traEU', '1_lag_4_median_shSICsep', '12_lag_labSSTjfm', '9_lag_traBS', '23_lag_nppc2SSTjfm', '8_lag_neurTSjfm', '20_lag_yrvPRjja', '13_lag_yrvPRjja', '3_lag_shSICsep', '1_lag_traEU', '21_lag_samPSLann', '1_lag_3_median_shSICsep', '2_lag_shSICsep', '1_lag_2_median_shSICsep', '11_lag_yrvPRjja', '20_lag_stratZ50ndj02', '13_lag_traBO', '4_lag_nchinaPRjja', '8_lag_eurPSLjfm', '1_lag_alpi', '13_lag_stratZ50ndj03', '20_lag_shSICsep', '1_lag_shSICsep', '7_lag_scpPSLjfm']","[0.1283794271469269, 0.08960524720300186, 0.13267626550550782, 0.07301061132397865, 0.006494791960926749, 0.09040216988756708, 0.05375866392736477, 0.21813431008928647, 0.0295881809513833, 0.1122307045856384, 0.027902395639621293, 0.06096313158412053, 0.027472547483311224, 0.04993617728200344, 743217823716.3853, 0.08889021591854622, 0.06545055971124136, 1486435647432.6902, 371582774419.4689, 371635049296.76733, 0.14198853041558218, 0.0941567083449716, 0.13383389987748653, 0.024086516946647225, 0.022045822531216605, 0.05137406929103359, 0.07194861204796685, 0.0671113043595353, 0.434859448324069, 0.048310649638317556]","11_lag_labSSTjfm, 22_lag_shSICmar, 23_lag_nchinaPRjja, 6_lag_mhfATL30, 16_lag_samPSLann, 17_lag_eapPSLjfm, 7_lag_traEU, 1_lag_4_median_shSICsep, 12_lag_labSSTjfm, 9_lag_traBS, 23_lag_nppc2SSTjfm, 8_lag_neurTSjfm, 20_lag_yrvPRjja, 13_lag_yrvPRjja, 3_lag_shSICsep, 1_lag_traEU, 21_lag_samPSLann, 1_lag_3_median_shSICsep, 2_lag_shSICsep, 1_lag_2_median_shSICsep, 11_lag_yrvPRjja, 20_lag_stratZ50ndj02, 13_lag_traBO, 4_lag_nchinaPRjja, 8_lag_eurPSLjfm, 1_lag_alpi, 13_lag_stratZ50ndj03, 20_lag_shSICsep, 1_lag_shSICsep, 7_lag_scpPSLjfm_2925_1"
