model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LinearRegression,0,30,naoPSLjfm,shigh,1514.5,2005.5,0.8,15,1,1,14.429123439368494,-0.0020330616889227045,1755,"['12_lag_cetTSjfm', '3_lag_traFB', '12_lag_traFB', '10_lag_scpPSLjfm', '10_lag_mhfIP30', '8_lag_nppc3SSTjfm', '3_lag_stratZ50ndj03', '13_lag_seurTSjfm', '13_lag_eapPSLjfm', '3_lag_amo2', '13_lag_traEC', '9_lag_stratZ50ndj01', '1_lag_stratZ50ndj03', '1_lag_4_median_stratZ50ndj01', '12_lag_amoSSTmjjaso', '8_lag_nhSICsep', '12_lag_satlSSTjfm', '9_lag_amo1', '8_lag_neurTSjfm', '12_lag_atlSICjfm', '11_lag_stratZ50ndj02', '6_lag_cetTSjfm', '12_lag_mhfATL45', '13_lag_atlSICsep', '7_lag_alpi', '5_lag_stratZ50ndj01', '1_lag_8_median_alpi', '13_lag_shSICsep', '1_lag_eurPSLjfm', '1_lag_naoPSLjfm']","[0.0010502915387140582, 0.12934222199017248, 0.08722233784006271, 0.09507313984802218, 0.0455038130797976, 0.20726237186575427, 0.08452156800918217, 0.021969277363619946, 0.06485737051442499, 0.25453744547596574, 0.10979075482339055, 0.104764086660595, 0.052991247191986834, 0.1320724862823397, 0.06266988184599773, 0.06210125440927367, 0.04751645851251455, 0.0989829264650996, 0.12428065109177466, 0.008548215441267631, 0.06220250141737057, 0.12286710702415532, 0.0834550049168844, 0.13414893811352452, 0.055298571352366974, 0.04308120380646667, 0.060815810862137824, 0.0311695007042172, 0.04172821475088454, 0.11009272586500547]","12_lag_cetTSjfm, 3_lag_traFB, 12_lag_traFB, 10_lag_scpPSLjfm, 10_lag_mhfIP30, 8_lag_nppc3SSTjfm, 3_lag_stratZ50ndj03, 13_lag_seurTSjfm, 13_lag_eapPSLjfm, 3_lag_amo2, 13_lag_traEC, 9_lag_stratZ50ndj01, 1_lag_stratZ50ndj03, 1_lag_4_median_stratZ50ndj01, 12_lag_amoSSTmjjaso, 8_lag_nhSICsep, 12_lag_satlSSTjfm, 9_lag_amo1, 8_lag_neurTSjfm, 12_lag_atlSICjfm, 11_lag_stratZ50ndj02, 6_lag_cetTSjfm, 12_lag_mhfATL45, 13_lag_atlSICsep, 7_lag_alpi, 5_lag_stratZ50ndj01, 1_lag_8_median_alpi, 13_lag_shSICsep, 1_lag_eurPSLjfm, 1_lag_naoPSLjfm_1755_1"
LinearRegression,1,30,naoPSLjfm,shigh,1515.5,2005.5,0.8,16,1,1,15.150473466298214,-0.05363577998973235,1885,"['3_lag_traFB', '14_lag_scpPSLjfm', '7_lag_traEU', '7_lag_traCA', '3_lag_amo2', '13_lag_traEC', '15_lag_shSICsep', '3_lag_stratZ50ndj03', '13_lag_seurTSjfm', '9_lag_stratZ50ndj01', '12_lag_amoSSTmjjaso', '11_lag_stratZ50ndj02', '15_lag_ismPRjja', '9_lag_amo1', '15_lag_nhSICsep', '12_lag_atlSICjfm', '8_lag_nppc3SSTjfm', '12_lag_mhfATL45', '8_lag_nhSICsep', '14_lag_arcTSjfm', '6_lag_cetTSjfm', '8_lag_neurTSjfm', '1_lag_8_median_alpi', '10_lag_scpPSLjfm', '5_lag_stratZ50ndj01', '7_lag_alpi', '1_lag_eurPSLjfm', '13_lag_shSICsep', '13_lag_atlSICsep', '1_lag_naoPSLjfm']","[0.12816305503489828, 0.12302120305149646, 0.0668174073227457, 0.06078223783815017, 0.24617367500518939, 0.0832543538392771, 0.08616100299406643, 0.09217350356571963, 0.03791736019747454, 0.10770141175905174, 0.09391468967305294, 0.05980888856523007, 0.012369622151933282, 0.10793769287558883, 0.2401381880580907, 0.013352961657330239, 0.23083254914783877, 0.0688784653332757, 0.03300538877249593, 0.08152321949362104, 0.134361948369872, 0.11426756108837809, 0.06935408681511003, 0.11771164339270537, 0.045475059887075314, 0.07922021137635593, 0.014614376627580836, 0.07774271148499241, 0.14539704762339756, 0.11057654621448529]","3_lag_traFB, 14_lag_scpPSLjfm, 7_lag_traEU, 7_lag_traCA, 3_lag_amo2, 13_lag_traEC, 15_lag_shSICsep, 3_lag_stratZ50ndj03, 13_lag_seurTSjfm, 9_lag_stratZ50ndj01, 12_lag_amoSSTmjjaso, 11_lag_stratZ50ndj02, 15_lag_ismPRjja, 9_lag_amo1, 15_lag_nhSICsep, 12_lag_atlSICjfm, 8_lag_nppc3SSTjfm, 12_lag_mhfATL45, 8_lag_nhSICsep, 14_lag_arcTSjfm, 6_lag_cetTSjfm, 8_lag_neurTSjfm, 1_lag_8_median_alpi, 10_lag_scpPSLjfm, 5_lag_stratZ50ndj01, 7_lag_alpi, 1_lag_eurPSLjfm, 13_lag_shSICsep, 13_lag_atlSICsep, 1_lag_naoPSLjfm_1885_1"
LinearRegression,2,30,naoPSLjfm,shigh,1516.5,2005.5,0.8,17,1,1,15.741096887432674,-0.09950662360133579,2015,"['1_lag_eurPSLjfm', '13_lag_yrvPRjja', '6_lag_traEU', '10_lag_traEC', '13_lag_eapPSLjfm', '12_lag_mhfATL45', '12_lag_mhfIP30', '9_lag_stratZ50ndj01', '16_lag_tripol3', '8_lag_nppc3SSTjfm', '13_lag_seurTSjfm', '9_lag_amo1', '1_lag_8_median_alpi', '3_lag_amo2', '14_lag_arcTSjfm', '14_lag_scpPSLjfm', '3_lag_stratZ50ndj03', '7_lag_alpi', '13_lag_traEC', '5_lag_stratZ50ndj01', '12_lag_atlSICjfm', '16_lag_atlSICsep', '8_lag_neurTSjfm', '6_lag_cetTSjfm', '8_lag_nhSICsep', '10_lag_scpPSLjfm', '16_lag_stratZ50ndj02', '13_lag_shSICsep', '13_lag_atlSICsep', '1_lag_naoPSLjfm']","[0.0076501134566875125, 0.07816989805873187, 0.060781516424276795, 0.04983410209943601, 0.0310563810915838, 0.08324097583681601, 0.08680324462134663, 0.10385598877523619, 0.1684004913926486, 0.26084130104865205, 0.0008862479603500349, 0.15148992199315928, 0.06399807809360153, 0.2318339018557066, 0.06133167041186181, 0.1317263199645899, 0.1235640446180176, 0.03819755853742255, 0.0659131003931125, 0.03901131414219906, 0.013395863034273871, 0.023262145919698628, 0.156726000549706, 0.13367434566471775, 0.03182219461150983, 0.11500922976914647, 0.13752765575608453, 0.032869713980408236, 0.12604817681362157, 0.10705462184666799]","1_lag_eurPSLjfm, 13_lag_yrvPRjja, 6_lag_traEU, 10_lag_traEC, 13_lag_eapPSLjfm, 12_lag_mhfATL45, 12_lag_mhfIP30, 9_lag_stratZ50ndj01, 16_lag_tripol3, 8_lag_nppc3SSTjfm, 13_lag_seurTSjfm, 9_lag_amo1, 1_lag_8_median_alpi, 3_lag_amo2, 14_lag_arcTSjfm, 14_lag_scpPSLjfm, 3_lag_stratZ50ndj03, 7_lag_alpi, 13_lag_traEC, 5_lag_stratZ50ndj01, 12_lag_atlSICjfm, 16_lag_atlSICsep, 8_lag_neurTSjfm, 6_lag_cetTSjfm, 8_lag_nhSICsep, 10_lag_scpPSLjfm, 16_lag_stratZ50ndj02, 13_lag_shSICsep, 13_lag_atlSICsep, 1_lag_naoPSLjfm_2015_1"
LinearRegression,3,30,naoPSLjfm,shigh,1517.5,2005.5,0.8,18,1,1,16.48841548198978,-0.11085485182424544,2145,"['10_lag_traEC', '3_lag_stratZ50ndj03', '1_lag_cetTSjfm', '16_lag_tripol3', '13_lag_traEU', '9_lag_amo1', '7_lag_shSICsep', '7_lag_traEU', '17_lag_neurTSjfm', '12_lag_satlSSTjfm', '5_lag_tripol3', '17_lag_seurTSjfm', '13_lag_traEC', '5_lag_stratZ50ndj01', '8_lag_nppc3SSTjfm', '3_lag_amo2', '13_lag_shSICsep', '14_lag_scpPSLjfm', '17_lag_ormenSSTjfm', '12_lag_atlSICjfm', '8_lag_neurTSjfm', '8_lag_nhSICsep', '6_lag_cetTSjfm', '17_lag_traTLS', '7_lag_alpi', '12_lag_mhfIP30', '16_lag_stratZ50ndj02', '10_lag_scpPSLjfm', '13_lag_atlSICsep', '1_lag_naoPSLjfm']","[0.051018768835800754, 0.09918085993955322, 0.03780448167317927, 0.15258848051721602, 0.04276258039371374, 0.11555577601409883, 0.035170625960546216, 0.06662661931319648, 0.021180042340253183, 0.13182452230042033, 0.013849890173217336, 0.08506266847802355, 0.033896632460569974, 0.03125315393243747, 0.23882737316856406, 0.260789388448527, 0.0003433083115798829, 0.14276755510587213, 0.1927409138252478, 0.08693317052337392, 0.1376789764347981, 0.010164375922883509, 0.154271575069473, 0.057295144112306406, 0.04922287599677058, 0.08604316730945019, 0.1610298337470771, 0.13219233371636097, 0.1458714532322896, 0.09544010088570423]","10_lag_traEC, 3_lag_stratZ50ndj03, 1_lag_cetTSjfm, 16_lag_tripol3, 13_lag_traEU, 9_lag_amo1, 7_lag_shSICsep, 7_lag_traEU, 17_lag_neurTSjfm, 12_lag_satlSSTjfm, 5_lag_tripol3, 17_lag_seurTSjfm, 13_lag_traEC, 5_lag_stratZ50ndj01, 8_lag_nppc3SSTjfm, 3_lag_amo2, 13_lag_shSICsep, 14_lag_scpPSLjfm, 17_lag_ormenSSTjfm, 12_lag_atlSICjfm, 8_lag_neurTSjfm, 8_lag_nhSICsep, 6_lag_cetTSjfm, 17_lag_traTLS, 7_lag_alpi, 12_lag_mhfIP30, 16_lag_stratZ50ndj02, 10_lag_scpPSLjfm, 13_lag_atlSICsep, 1_lag_naoPSLjfm_2145_1"
LinearRegression,4,30,naoPSLjfm,shigh,1518.5,2005.5,0.8,19,1,1,17.657912038056242,-0.18603825244740696,2275,"['1_lag_cetTSjfm', '3_lag_stratZ50ndj03', '3_lag_amo2', '18_lag_nhSICjfm', '16_lag_eurPSLjfm', '13_lag_shSICsep', '9_lag_stratZ50ndj01', '18_lag_arcTSjfm', '5_lag_stratZ50ndj01', '8_lag_traMC', '12_lag_atlSICjfm', '7_lag_alpi', '8_lag_neurTSjfm', '18_lag_seurTSjfm', '1_lag_8_median_alpi', '18_lag_traEU', '7_lag_shSICsep', '13_lag_traEU', '3_lag_traFB', '7_lag_traEU', '13_lag_traEC', '8_lag_nhSICsep', '18_lag_traTLS', '12_lag_mhfIP30', '6_lag_cetTSjfm', '10_lag_scpPSLjfm', '14_lag_scpPSLjfm', '16_lag_stratZ50ndj02', '13_lag_atlSICsep', '1_lag_naoPSLjfm']","[0.036290456193127395, 0.11713178784457365, 0.16993126281226106, 0.16217775530094639, 0.05054985039762105, 0.015346051623980705, 0.05014112232448511, 0.09494600671129995, 0.0365200504782543, 0.06860328248014655, 0.11927817054711791, 0.07213602885324712, 0.09768569469776846, 0.15201400994411407, 0.10794817502205899, 0.0913928469189866, 0.035387676035864804, 0.034637484982133135, 0.20136993238932735, 0.05702532310351778, 0.10067335089742943, 0.049569727762784954, 0.14276406801137012, 0.04035576396030237, 0.17216316563820336, 0.10556915120086824, 0.11886271326753439, 0.1342476832268267, 0.12883438059001567, 0.08403613322510059]","1_lag_cetTSjfm, 3_lag_stratZ50ndj03, 3_lag_amo2, 18_lag_nhSICjfm, 16_lag_eurPSLjfm, 13_lag_shSICsep, 9_lag_stratZ50ndj01, 18_lag_arcTSjfm, 5_lag_stratZ50ndj01, 8_lag_traMC, 12_lag_atlSICjfm, 7_lag_alpi, 8_lag_neurTSjfm, 18_lag_seurTSjfm, 1_lag_8_median_alpi, 18_lag_traEU, 7_lag_shSICsep, 13_lag_traEU, 3_lag_traFB, 7_lag_traEU, 13_lag_traEC, 8_lag_nhSICsep, 18_lag_traTLS, 12_lag_mhfIP30, 6_lag_cetTSjfm, 10_lag_scpPSLjfm, 14_lag_scpPSLjfm, 16_lag_stratZ50ndj02, 13_lag_atlSICsep, 1_lag_naoPSLjfm_2275_1"
LinearRegression,5,30,naoPSLjfm,shigh,1519.5,2005.5,0.8,20,1,1,17.648539736674294,-0.12026890165401521,2405,"['2_lag_yrvPRjja', '1_lag_wnorPRjfm', '17_lag_traEC', '7_lag_alpi', '5_lag_stratZ50ndj01', '3_lag_amo2', '17_lag_traTLS', '18_lag_traTLS', '9_lag_stratZ50ndj02', '7_lag_traEC', '8_lag_traEC', '19_lag_tripol3', '16_lag_tripol3', '18_lag_seurTSjfm', '8_lag_traMC', '18_lag_arcTSjfm', '8_lag_neurTSjfm', '1_lag_8_median_alpi', '7_lag_traEU', '18_lag_neurTSjfm', '18_lag_traEU', '13_lag_traEC', '13_lag_traEU', '6_lag_cetTSjfm', '12_lag_mhfIP30', '10_lag_scpPSLjfm', '16_lag_stratZ50ndj02', '14_lag_scpPSLjfm', '13_lag_atlSICsep', '1_lag_naoPSLjfm']","[0.10511218845280579, 0.07796676795889589, 0.00018268049507631835, 0.06727695727799678, 0.01443226953641047, 0.15652434872297408, 0.07728326059762929, 0.13813373949377833, 0.027200057102635802, 0.126582343505806, 0.12196337428435958, 0.1098573108213565, 0.0024909682087289092, 0.10314933561959112, 0.07610310199872962, 0.12502591345721356, 0.12358898770740669, 0.0724743732274354, 0.05805053329995708, 0.06026012930987868, 0.05680738783289692, 0.09639055635317167, 0.021892278234959983, 0.15991449637631688, 0.03913645397453957, 0.09618589193556315, 0.16120229467848493, 0.12144590985575032, 0.18541562536844283, 0.16464861032298425]","2_lag_yrvPRjja, 1_lag_wnorPRjfm, 17_lag_traEC, 7_lag_alpi, 5_lag_stratZ50ndj01, 3_lag_amo2, 17_lag_traTLS, 18_lag_traTLS, 9_lag_stratZ50ndj02, 7_lag_traEC, 8_lag_traEC, 19_lag_tripol3, 16_lag_tripol3, 18_lag_seurTSjfm, 8_lag_traMC, 18_lag_arcTSjfm, 8_lag_neurTSjfm, 1_lag_8_median_alpi, 7_lag_traEU, 18_lag_neurTSjfm, 18_lag_traEU, 13_lag_traEC, 13_lag_traEU, 6_lag_cetTSjfm, 12_lag_mhfIP30, 10_lag_scpPSLjfm, 16_lag_stratZ50ndj02, 14_lag_scpPSLjfm, 13_lag_atlSICsep, 1_lag_naoPSLjfm_2405_1"
LinearRegression,6,30,naoPSLjfm,shigh,1520.5,2005.5,0.8,21,1,1,17.511598100264887,-0.13308198967445573,2535,"['18_lag_arcTSjfm', '3_lag_amo2', '8_lag_traEC', '5_lag_stratZ50ndj01', '8_lag_stratZ50ndj04', '7_lag_alpi', '3_lag_stratZ50ndj03', '7_lag_traEC', '18_lag_seurTSjfm', '17_lag_traTLS', '16_lag_tripol3', '9_lag_stratZ50ndj01', '13_lag_traEU', '18_lag_traTLS', '9_lag_stratZ50ndj02', '13_lag_traEC', '8_lag_neurTSjfm', '18_lag_traEU', '1_lag_8_median_alpi', '18_lag_neurTSjfm', '8_lag_traMC', '7_lag_traEU', '6_lag_cetTSjfm', '20_lag_stratZ50ndj02', '16_lag_stratZ50ndj02', '12_lag_mhfIP30', '10_lag_scpPSLjfm', '14_lag_scpPSLjfm', '13_lag_atlSICsep', '1_lag_naoPSLjfm']","[0.11198373780979813, 0.17003695980304276, 0.1309017269964473, 0.024490441805369714, 0.13542482990073548, 0.07460767976904507, 0.09746587242903702, 0.1230135862298402, 0.09455009173047133, 0.049089860672073875, 0.055522720930956504, 0.07216158941475906, 0.01414873718220093, 0.1563511834725472, 0.023391048756229944, 0.09460668897432571, 0.12977361496003098, 0.09603701133413557, 0.07815667132541812, 0.057971180197707625, 0.061251042036893216, 0.05948473095906732, 0.15554608556924687, 0.043973400575559485, 0.15443267657675555, 0.06126471460193518, 0.09951782548520532, 0.10812388879661018, 0.1807114274015405, 0.08921840135343606]","18_lag_arcTSjfm, 3_lag_amo2, 8_lag_traEC, 5_lag_stratZ50ndj01, 8_lag_stratZ50ndj04, 7_lag_alpi, 3_lag_stratZ50ndj03, 7_lag_traEC, 18_lag_seurTSjfm, 17_lag_traTLS, 16_lag_tripol3, 9_lag_stratZ50ndj01, 13_lag_traEU, 18_lag_traTLS, 9_lag_stratZ50ndj02, 13_lag_traEC, 8_lag_neurTSjfm, 18_lag_traEU, 1_lag_8_median_alpi, 18_lag_neurTSjfm, 8_lag_traMC, 7_lag_traEU, 6_lag_cetTSjfm, 20_lag_stratZ50ndj02, 16_lag_stratZ50ndj02, 12_lag_mhfIP30, 10_lag_scpPSLjfm, 14_lag_scpPSLjfm, 13_lag_atlSICsep, 1_lag_naoPSLjfm_2535_1"
LinearRegression,7,30,naoPSLjfm,shigh,1521.5,2005.5,0.8,22,2,2,16.539872052415486,-0.2009276551458368,2535,"['16_lag_neurTSjfm', '16_lag_tripol3', '21_lag_eapPSLjfm', '14_lag_ginwSSTjfm', '16_lag_traEC', '9_lag_stratZ50ndj02', '17_lag_traTLS', '11_lag_scpPSLjfm', '18_lag_arcTSjfm', '13_lag_traEU', '16_lag_traEU', '18_lag_neurTSjfm', '6_lag_traEU', '15_lag_traEC', '2_lag_eapPSLjfm', '2_lag_samPSLann', '18_lag_traTLS', '16_lag_stratZ50ndj02', '18_lag_stratZ50ndj01', '2_lag_nppc2SSTjfm', '7_lag_traEU', '12_lag_mhfIP30', '8_lag_traMC', '6_lag_cetTSjfm', '18_lag_traEU', '10_lag_scpPSLjfm', '2_lag_yrvPRjja', '2_lag_atlSICsep', '14_lag_scpPSLjfm', '13_lag_atlSICsep']","[0.06360884940488076, 0.07556830093533337, 0.08811551870347326, 0.07121773299787787, 0.06538199172055467, 0.03538103834230929, 0.10850053271026783, 0.005135737023241817, 0.09771936579113681, 0.03807771773352517, 0.06533980811507464, 0.08345742193872434, 0.04995738390923391, 0.07708606973239103, 0.08526060740551704, 0.014900844796039668, 0.20812985842500556, 0.14077637699540554, 0.07766528102348369, 0.1463289094580368, 0.041511475854832475, 0.019852643024679092, 0.031032597872020236, 0.17168445577721309, 0.017488226188111803, 0.0937973019694007, 0.11341288259148047, 0.15678766548161527, 0.14093377967130352, 0.18136499409572726]","16_lag_neurTSjfm, 16_lag_tripol3, 21_lag_eapPSLjfm, 14_lag_ginwSSTjfm, 16_lag_traEC, 9_lag_stratZ50ndj02, 17_lag_traTLS, 11_lag_scpPSLjfm, 18_lag_arcTSjfm, 13_lag_traEU, 16_lag_traEU, 18_lag_neurTSjfm, 6_lag_traEU, 15_lag_traEC, 2_lag_eapPSLjfm, 2_lag_samPSLann, 18_lag_traTLS, 16_lag_stratZ50ndj02, 18_lag_stratZ50ndj01, 2_lag_nppc2SSTjfm, 7_lag_traEU, 12_lag_mhfIP30, 8_lag_traMC, 6_lag_cetTSjfm, 18_lag_traEU, 10_lag_scpPSLjfm, 2_lag_yrvPRjja, 2_lag_atlSICsep, 14_lag_scpPSLjfm, 13_lag_atlSICsep_2535_2"
LinearRegression,8,30,naoPSLjfm,shigh,1522.5,2005.5,0.8,23,3,3,15.633959846948732,-0.05131964170133678,2535,"['22_lag_traFB', '10_lag_atlSICsep', '17_lag_traEC', '12_lag_traDS', '3_lag_shSICsep', '12_lag_traFB', '7_lag_traWP', '17_lag_neurTSjfm', '16_lag_traEC', '17_lag_atlSICsep', '17_lag_traTLS', '22_lag_ginwSSTjfm', '18_lag_arcTSjfm', '9_lag_stratZ50ndj02', '16_lag_neurTSjfm', '18_lag_neurTSjfm', '22_lag_traMC', '6_lag_cetTSjfm', '18_lag_traTLS', '17_lag_nchinaPRjja', '18_lag_stratZ50ndj01', '8_lag_traMC', '16_lag_stratZ50ndj02', '13_lag_atlSICsep', '12_lag_mhfIP30', '14_lag_scpPSLjfm', '10_lag_scpPSLjfm', '7_lag_traEU', '18_lag_traEU', '3_lag_ismPRjja']","[0.10823392427013846, 0.019475699489620524, 0.032614342504556984, 0.1708805827877555, 0.003816833898603276, 0.05771743897283265, 0.006906714790531961, 0.042799365896607655, 0.015209006448736144, 0.1398592052866614, 0.08268866661168885, 0.00968368250646388, 0.06612656754564328, 0.05036200707232193, 0.07399020914296311, 0.09967117172268446, 0.03985234892748684, 0.1499324837906761, 0.1545533083699523, 0.011898425734874356, 0.07704455027768195, 0.059904305640774994, 0.1397819022266783, 0.1462725269960795, 0.06626748689472248, 0.1233332482606188, 0.09026738287172854, 0.052216424495180956, 0.025430371898862443, 0.07105169767993867]","22_lag_traFB, 10_lag_atlSICsep, 17_lag_traEC, 12_lag_traDS, 3_lag_shSICsep, 12_lag_traFB, 7_lag_traWP, 17_lag_neurTSjfm, 16_lag_traEC, 17_lag_atlSICsep, 17_lag_traTLS, 22_lag_ginwSSTjfm, 18_lag_arcTSjfm, 9_lag_stratZ50ndj02, 16_lag_neurTSjfm, 18_lag_neurTSjfm, 22_lag_traMC, 6_lag_cetTSjfm, 18_lag_traTLS, 17_lag_nchinaPRjja, 18_lag_stratZ50ndj01, 8_lag_traMC, 16_lag_stratZ50ndj02, 13_lag_atlSICsep, 12_lag_mhfIP30, 14_lag_scpPSLjfm, 10_lag_scpPSLjfm, 7_lag_traEU, 18_lag_traEU, 3_lag_ismPRjja_2535_3"
LinearRegression,9,30,naoPSLjfm,shigh,1523.5,2005.5,0.8,24,4,4,15.844551657811744,0.007857974796174758,2535,"['19_lag_cetTSjfm', '23_lag_yrvPRjja', '16_lag_traEC', '17_lag_traTLS', '11_lag_ginwSSTjfm', '6_lag_traMC', '9_lag_stratZ50ndj02', '19_lag_traEU', '12_lag_mhfIP30', '17_lag_atlSICsep', '12_lag_traDS', '6_lag_cetTSjfm', '8_lag_traMC', '21_lag_traIFC', '11_lag_traIT', '18_lag_stratZ50ndj01', '23_lag_traWP', '4_lag_stratZ50ndj03', '22_lag_traMC', '18_lag_traEU', '18_lag_traTLS', '18_lag_neurTSjfm', '7_lag_traEU', '10_lag_scpPSLjfm', '23_lag_traMC', '23_lag_neurTSjfm', '16_lag_stratZ50ndj02', '23_lag_seurTSjfm', '14_lag_scpPSLjfm', '17_lag_nchinaPRjja']","[0.0002898976215405671, 0.05602187292638343, 0.01789936059906134, 0.07330032731737147, 0.041674997705176055, 0.0615614243098682, 0.0199566829751796, 0.07086841526750118, 0.06001228212276658, 0.17053676646676108, 0.21655863519375496, 0.13570592186811756, 0.0453246120000072, 0.03232097865907703, 0.07973257229390888, 0.03670913027969483, 0.12135671842722366, 0.1107691529201348, 0.04153557870369291, 0.034532971984864796, 0.13244464199543401, 0.095733998086398, 0.06468339456099913, 0.08324204148232808, 0.05798116858357641, 0.1458642931309813, 0.13571242758436317, 0.20346316236722597, 0.13017715670875032, 0.05938594920572452]","19_lag_cetTSjfm, 23_lag_yrvPRjja, 16_lag_traEC, 17_lag_traTLS, 11_lag_ginwSSTjfm, 6_lag_traMC, 9_lag_stratZ50ndj02, 19_lag_traEU, 12_lag_mhfIP30, 17_lag_atlSICsep, 12_lag_traDS, 6_lag_cetTSjfm, 8_lag_traMC, 21_lag_traIFC, 11_lag_traIT, 18_lag_stratZ50ndj01, 23_lag_traWP, 4_lag_stratZ50ndj03, 22_lag_traMC, 18_lag_traEU, 18_lag_traTLS, 18_lag_neurTSjfm, 7_lag_traEU, 10_lag_scpPSLjfm, 23_lag_traMC, 23_lag_neurTSjfm, 16_lag_stratZ50ndj02, 23_lag_seurTSjfm, 14_lag_scpPSLjfm, 17_lag_nchinaPRjja_2535_4"
