model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LinearRegression,0,10,tripol3,shigh,1514.5,2005.5,0.8,15,1,1,15.120404179532466,0.3631555037867444,1755,"['1_lag_arcTSjfm', '1_lag_traEU', '1_lag_ismPRjja', '5_lag_traMC', '4_lag_wnorPRjfm', '9_lag_stratZ50ndj01', '1_lag_tripol3', '8_lag_cetTSjfm', '11_lag_cetTSjfm', '1_lag_traIT']","[0.0606130461393654, 0.09761604166082931, 0.09174254304570366, 0.009585917056236435, 0.010870854746452219, 0.044462666360607396, 0.2568176158569609, 0.042213141584067165, 0.10759537597154874, 0.2035849857926069]","1_lag_arcTSjfm, 1_lag_traEU, 1_lag_ismPRjja, 5_lag_traMC, 4_lag_wnorPRjfm, 9_lag_stratZ50ndj01, 1_lag_tripol3, 8_lag_cetTSjfm, 11_lag_cetTSjfm, 1_lag_traIT_1755_1"
LinearRegression,1,10,tripol3,shigh,1515.5,2005.5,0.8,16,1,1,17.122844486725718,0.24732405339610322,1885,"['11_lag_stratZ50ndj03', '1_lag_eapPSLjfm', '5_lag_mhfIP30', '1_lag_traEU', '4_lag_wnorPRjfm', '12_lag_ginwSSTjfm', '9_lag_stratZ50ndj01', '1_lag_tripol3', '11_lag_cetTSjfm', '1_lag_traIT']","[0.061452690099247136, 0.04229450373373273, 0.06963226862480208, 0.10163139699155092, 0.02295707210829905, 0.0009095924117578386, 0.04326245017567573, 0.2377038147648873, 0.11783068202958083, 0.21899568487783086]","11_lag_stratZ50ndj03, 1_lag_eapPSLjfm, 5_lag_mhfIP30, 1_lag_traEU, 4_lag_wnorPRjfm, 12_lag_ginwSSTjfm, 9_lag_stratZ50ndj01, 1_lag_tripol3, 11_lag_cetTSjfm, 1_lag_traIT_1885_1"
LinearRegression,2,10,tripol3,shigh,1516.5,2005.5,0.8,17,1,1,16.678529374609212,0.3158378296056955,2015,"['1_lag_nppc2SSTjfm', '4_lag_wnorPRjfm', '8_lag_cetTSjfm', '4_lag_traIT', '1_lag_tripol3', '1_lag_traEU', '9_lag_stratZ50ndj01', '16_lag_scpPSLjfm', '11_lag_cetTSjfm', '1_lag_traIT']","[0.0005485392062450664, 0.02351896948024837, 0.03929214701532299, 0.01903985238998957, 0.2405358698885245, 0.10184849692586068, 0.035562790188405365, 0.021983629593527607, 0.1095965580121349, 0.21980011756052242]","1_lag_nppc2SSTjfm, 4_lag_wnorPRjfm, 8_lag_cetTSjfm, 4_lag_traIT, 1_lag_tripol3, 1_lag_traEU, 9_lag_stratZ50ndj01, 16_lag_scpPSLjfm, 11_lag_cetTSjfm, 1_lag_traIT_2015_1"
LinearRegression,3,10,tripol3,shigh,1517.5,2005.5,0.8,18,1,1,17.132369081327617,0.257061285269162,2145,"['11_lag_alpi', '1_lag_nppc2SSTjfm', '11_lag_cetTSjfm', '1_lag_traEU', '1_lag_tripol3', '16_lag_scpPSLjfm', '17_lag_ginwSSTjfm', '4_lag_wnorPRjfm', '17_lag_traEU', '1_lag_traIT']","[0.06938246414432195, 0.001625802062441989, 0.11192038710145447, 0.09656860720393154, 0.2504447454432456, 0.02040385645961476, 0.05978500065145619, 0.024263184791074734, 0.0346345423876775, 0.21048895759474326]","11_lag_alpi, 1_lag_nppc2SSTjfm, 11_lag_cetTSjfm, 1_lag_traEU, 1_lag_tripol3, 16_lag_scpPSLjfm, 17_lag_ginwSSTjfm, 4_lag_wnorPRjfm, 17_lag_traEU, 1_lag_traIT_2145_1"
LinearRegression,4,10,tripol3,shigh,1518.5,2005.5,0.8,19,1,1,20.542210090884133,-0.026908276304598973,2275,"['16_lag_scpPSLjfm', '11_lag_cetTSjfm', '1_lag_nppc2SSTjfm', '11_lag_alpi', '17_lag_cetTSjfm', '1_lag_traTLS', '4_lag_wnorPRjfm', '17_lag_traEU', '1_lag_traEU', '1_lag_traIT']","[0.026188799581625916, 0.12562401777195542, 0.0132376911590304, 0.06153356758201789, 0.022804027267347822, 0.06065612665198625, 0.014710972407654344, 0.038687162550491545, 0.0874236335899651, 0.18605968299092623]","16_lag_scpPSLjfm, 11_lag_cetTSjfm, 1_lag_nppc2SSTjfm, 11_lag_alpi, 17_lag_cetTSjfm, 1_lag_traTLS, 4_lag_wnorPRjfm, 17_lag_traEU, 1_lag_traEU, 1_lag_traIT_2275_1"
LinearRegression,5,10,tripol3,shigh,1519.5,2005.5,0.8,20,1,1,20.37467481299293,-0.00501436200300296,2405,"['16_lag_scpPSLjfm', '11_lag_alpi', '15_lag_traMC', '1_lag_nppc2SSTjfm', '4_lag_wnorPRjfm', '1_lag_traEU', '11_lag_cetTSjfm', '17_lag_traEU', '1_lag_traTLS', '1_lag_traIT']","[0.02538451216300294, 0.06114886497535338, 0.0006451217497197292, 0.01527451830951778, 0.015446371943460019, 0.08673740026759767, 0.1272406226120306, 0.03691719876867591, 0.056824107945043376, 0.1862616392584498]","16_lag_scpPSLjfm, 11_lag_alpi, 15_lag_traMC, 1_lag_nppc2SSTjfm, 4_lag_wnorPRjfm, 1_lag_traEU, 11_lag_cetTSjfm, 17_lag_traEU, 1_lag_traTLS, 1_lag_traIT_2405_1"
LinearRegression,6,10,tripol3,shigh,1520.5,2005.5,0.8,21,1,1,20.74164485872064,-0.09641562730969605,2535,"['17_lag_cetTSjfm', '17_lag_eurPSLjfm', '4_lag_wnorPRjfm', '10_lag_traBS', '16_lag_scpPSLjfm', '11_lag_cetTSjfm', '11_lag_alpi', '1_lag_nppc2SSTjfm', '1_lag_traTLS', '1_lag_traIT']","[0.05058444182549316, 0.07233488357300213, 0.018965143435850207, 0.09876070765652244, 0.029292757705713185, 0.13396118522887246, 0.07126030197603105, 0.008931723298361623, 0.07740912793527281, 0.15201176544787473]","17_lag_cetTSjfm, 17_lag_eurPSLjfm, 4_lag_wnorPRjfm, 10_lag_traBS, 16_lag_scpPSLjfm, 11_lag_cetTSjfm, 11_lag_alpi, 1_lag_nppc2SSTjfm, 1_lag_traTLS, 1_lag_traIT_2535_1"
LinearRegression,7,10,tripol3,shigh,1521.5,2005.5,0.8,22,2,2,18.074835399627297,0.0658964232058623,2535,"['10_lag_traBS', '11_lag_alpi', '18_lag_shSICmar', '17_lag_cetTSjfm', '15_lag_traMC', '2_lag_tripol3', '17_lag_traEU', '15_lag_nchinaPRjja', '11_lag_cetTSjfm', '2_lag_traEC']","[0.11614918837599204, 0.087735071280757, 0.04397448903991842, 8.516875749096237e-05, 0.024413313013596147, 0.0884515900809836, 0.04634798217675463, 0.06255965518601514, 0.14590828403176753, 0.13977481509784126]","10_lag_traBS, 11_lag_alpi, 18_lag_shSICmar, 17_lag_cetTSjfm, 15_lag_traMC, 2_lag_tripol3, 17_lag_traEU, 15_lag_nchinaPRjja, 11_lag_cetTSjfm, 2_lag_traEC_2535_2"
LinearRegression,8,10,tripol3,shigh,1522.5,2005.5,0.8,23,3,3,19.05830616942263,0.036321219133251835,2535,"['22_lag_scpPSLjfm', '11_lag_traMC', '17_lag_cetTSjfm', '15_lag_stratZ50ndj03', '3_lag_traBS', '12_lag_cetTSjfm', '17_lag_traEU', '15_lag_nchinaPRjja', '11_lag_cetTSjfm', '18_lag_shSICmar']","[0.056132680477247704, 0.02288040530609975, 0.0024025164418830704, 0.029228985210500814, 0.10638465181307075, 0.04171657162491621, 0.04680458857992141, 0.06375623468862854, 0.13331410135593164, 0.03903988442618846]","22_lag_scpPSLjfm, 11_lag_traMC, 17_lag_cetTSjfm, 15_lag_stratZ50ndj03, 3_lag_traBS, 12_lag_cetTSjfm, 17_lag_traEU, 15_lag_nchinaPRjja, 11_lag_cetTSjfm, 18_lag_shSICmar_2535_3"
LinearRegression,9,10,tripol3,shigh,1523.5,2005.5,0.8,24,4,11,19.46683126621136,0.1513607902195791,2535,"['16_lag_traBS', '15_lag_stratZ50ndj03', '11_lag_traIFC', '11_lag_cetTSjfm', '22_lag_scpPSLjfm', '23_lag_traBS', '17_lag_cetTSjfm', '18_lag_shSICmar', '12_lag_cetTSjfm', '15_lag_nchinaPRjja']","[0.08697080289159298, 0.019916410120129402, 0.0914780485759346, 0.08702647246956913, 0.07428266327097505, 0.1003306286477772, 0.015001138159205642, 0.060653247482711635, 0.052333059670225744, 0.07050711809718663]","16_lag_traBS, 15_lag_stratZ50ndj03, 11_lag_traIFC, 11_lag_cetTSjfm, 22_lag_scpPSLjfm, 23_lag_traBS, 17_lag_cetTSjfm, 18_lag_shSICmar, 12_lag_cetTSjfm, 15_lag_nchinaPRjja_2535_11"
