model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LinearRegression,0,6,arcTSjfm,shigh,866.5,2005.5,0.8,15,1,1,15.237666762600787,0.42457090156807087,1755,"['1_lag_5_median_stratZ50ndj03', '1_lag_8_median_neurTSjfm', '1_lag_6_median_yrvPRjja', '1_lag_10_median_stratZ50ndj02', '12_lag_ensoSSTjfm', '1_lag_7_median_eurPSLjfm']","[0.1351770917211282, 0.3148328390830586, 0.01544503925240357, 0.11119776290836136, 0.020855994837833236, 0.19005834155622653]","1_lag_5_median_stratZ50ndj03, 1_lag_8_median_neurTSjfm, 1_lag_6_median_yrvPRjja, 1_lag_10_median_stratZ50ndj02, 12_lag_ensoSSTjfm, 1_lag_7_median_eurPSLjfm_1755_1"
LinearRegression,1,6,arcTSjfm,shigh,867.5,2005.5,0.8,16,1,1,16.63641760967774,-0.07500786787735772,1885,"['1_lag_4_median_shSICmar', '1_lag_12_median_traFS', '1_lag_12_median_traIT', '12_lag_ensoSSTjfm', '1_lag_6_median_yrvPRjja', '1_lag_10_median_stratZ50ndj02']","[0.0690929049824687, 0.22184912771273957, 0.02172954740263465, 0.026865938826760534, 0.06383810488410308, 0.13808789769744007]","1_lag_4_median_shSICmar, 1_lag_12_median_traFS, 1_lag_12_median_traIT, 12_lag_ensoSSTjfm, 1_lag_6_median_yrvPRjja, 1_lag_10_median_stratZ50ndj02_1885_1"
LinearRegression,2,6,arcTSjfm,shigh,868.5,2005.5,0.8,17,1,1,16.712138360392462,0.048755822691624054,2015,"['1_lag_mhfATL45', '1_lag_4_median_shSICmar', '1_lag_12_median_traIT', '1_lag_10_median_stratZ50ndj02', '1_lag_6_median_yrvPRjja', '12_lag_ensoSSTjfm']","[0.1708126339626162, 0.0983044789750262, 0.0020218802284051665, 0.1296237439141926, 0.0476934446153196, 0.022393379677298632]","1_lag_mhfATL45, 1_lag_4_median_shSICmar, 1_lag_12_median_traIT, 1_lag_10_median_stratZ50ndj02, 1_lag_6_median_yrvPRjja, 12_lag_ensoSSTjfm_2015_1"
LinearRegression,3,6,arcTSjfm,shigh,869.5,2005.5,0.8,18,1,1,14.668293584021903,0.4642678285952555,2145,"['1_lag_12_median_traFS', '1_lag_arcTSjfm', '1_lag_4_median_shSICmar', '12_lag_ensoSSTjfm', '1_lag_6_median_yrvPRjja', '16_lag_eapPSLjfm']","[0.18538545148226987, 0.267554373275068, 0.0503907333433658, 0.014049587568058713, 0.06038989061907586, 0.005643785129125535]","1_lag_12_median_traFS, 1_lag_arcTSjfm, 1_lag_4_median_shSICmar, 12_lag_ensoSSTjfm, 1_lag_6_median_yrvPRjja, 16_lag_eapPSLjfm_2145_1"
LinearRegression,4,6,arcTSjfm,shigh,870.5,2005.5,0.8,19,1,1,13.168137738706184,0.4989507399596134,2275,"['10_lag_traDP', '1_lag_4_median_gyreSSTjfm', '1_lag_traIT', '1_lag_6_median_yrvPRjja', '16_lag_eapPSLjfm', '1_lag_arcTSjfm']","[0.03734570429120535, 0.15917939915144494, 0.269502600937254, 0.029871197242401996, 0.012082970906614095, 0.23507371168029362]","10_lag_traDP, 1_lag_4_median_gyreSSTjfm, 1_lag_traIT, 1_lag_6_median_yrvPRjja, 16_lag_eapPSLjfm, 1_lag_arcTSjfm_2275_1"
LinearRegression,5,6,arcTSjfm,shigh,871.5,2005.5,0.8,20,1,1,13.009116960547063,0.515978672285683,2405,"['12_lag_ensoSSTjfm', '1_lag_4_median_gyreSSTjfm', '16_lag_eapPSLjfm', '11_lag_nppc3SSTjfm', '1_lag_traIT', '1_lag_arcTSjfm']","[0.012365340890946834, 0.17174750069786648, 0.009624257041086477, 0.046019948845345035, 0.26746405929136063, 0.23098434245394034]","12_lag_ensoSSTjfm, 1_lag_4_median_gyreSSTjfm, 16_lag_eapPSLjfm, 11_lag_nppc3SSTjfm, 1_lag_traIT, 1_lag_arcTSjfm_2405_1"
LinearRegression,6,6,arcTSjfm,shigh,872.5,2005.5,0.8,21,1,1,12.84774913144951,0.5293443421868241,2535,"['20_lag_arcTSjfm', '1_lag_shSICsep', '18_lag_traIT', '11_lag_nppc3SSTjfm', '1_lag_traIT', '1_lag_arcTSjfm']","[0.036309557414454526, 4.1981437720828296e-05, 0.004310470359636514, 0.048005580863131656, 0.2538499258233368, 0.25328038994291774]","20_lag_arcTSjfm, 1_lag_shSICsep, 18_lag_traIT, 11_lag_nppc3SSTjfm, 1_lag_traIT, 1_lag_arcTSjfm_2535_1"
LinearRegression,7,6,arcTSjfm,shigh,873.5,2005.5,0.8,22,1,1,12.595788691625948,0.5612166684999998,2665,"['18_lag_traIT', '11_lag_nppc3SSTjfm', '12_lag_nhSICsep', '1_lag_shSICsep', '1_lag_arcTSjfm', '1_lag_traIT']","[0.01277998799892836, 0.008064294686100815, 0.18140981444371734, 0.0037560799043544132, 0.23375132587171527, 0.2440274936966706]","18_lag_traIT, 11_lag_nppc3SSTjfm, 12_lag_nhSICsep, 1_lag_shSICsep, 1_lag_arcTSjfm, 1_lag_traIT_2665_1"
LinearRegression,8,6,arcTSjfm,shigh,874.5,2005.5,0.8,23,1,1,12.492440762203914,0.5688053909640176,2795,"['15_lag_labSSTjfm', '1_lag_shSICsep', '11_lag_nppc3SSTjfm', '12_lag_nhSICsep', '1_lag_arcTSjfm', '1_lag_traIT']","[0.03786133625892428, 0.008765799690806403, 0.010036718471502363, 0.17406227282777487, 0.23030353109619342, 0.24363551899868924]","15_lag_labSSTjfm, 1_lag_shSICsep, 11_lag_nppc3SSTjfm, 12_lag_nhSICsep, 1_lag_arcTSjfm, 1_lag_traIT_2795_1"
LinearRegression,9,6,arcTSjfm,shigh,875.5,2005.5,0.8,24,1,1,11.771556788531289,0.6388794459620851,2925,"['1_lag_nppc2SSTjfm', '15_lag_labSSTjfm', '12_lag_nhSICsep', '1_lag_shSICsep', '1_lag_arcTSjfm', '1_lag_traIT']","[0.1849045413002461, 0.027706752218226605, 0.13751733074770287, 0.008997148945036254, 0.20040292176309799, 0.20476896371976963]","1_lag_nppc2SSTjfm, 15_lag_labSSTjfm, 12_lag_nhSICsep, 1_lag_shSICsep, 1_lag_arcTSjfm, 1_lag_traIT_2925_1"
LinearRegression,10,6,arcTSjfm,shigh,876.5,2005.5,0.8,25,1,1,12.643455255331261,0.5427811654218444,3055,"['1_lag_stratZ50ndj03', '15_lag_labSSTjfm', '1_lag_shSICsep', '12_lag_nhSICsep', '1_lag_arcTSjfm', '1_lag_traIT']","[0.06817127560011205, 0.0415056046630512, 0.011472473436244723, 0.17702248316690625, 0.24198455972282001, 0.2449252084583058]","1_lag_stratZ50ndj03, 15_lag_labSSTjfm, 1_lag_shSICsep, 12_lag_nhSICsep, 1_lag_arcTSjfm, 1_lag_traIT_3055_1"
