model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LinearRegression,0,6,traIT,slow,866.5,2005.5,0.6,15,1,1,11.498001646224578,-0.12932382343036922,1755,"['9_lag_mhfATL60', '1_lag_10_median_mhfATL45', '12_lag_satlSSTjfm', '4_lag_traWP', '12_lag_atlSICsep', '7_lag_arcTSjfm']","[0.0015984287305115977, 0.08275631735508035, 0.03879787115230818, 0.08772452657437904, 0.11413215890931284, 0.09885856260629784]","9_lag_mhfATL60, 1_lag_10_median_mhfATL45, 12_lag_satlSSTjfm, 4_lag_traWP, 12_lag_atlSICsep, 7_lag_arcTSjfm_1755_1"
LinearRegression,1,6,traIT,slow,867.5,2005.5,0.6,16,1,1,11.457891732545349,-0.10349500378436993,1885,"['1_lag_10_median_mhfATL45', '14_lag_traEC', '7_lag_arcTSjfm', '12_lag_atlSICsep', '4_lag_traWP', '5_lag_tripol3']","[0.08597574140771691, 0.06673920682907886, 0.10673392805718471, 0.11600360096599156, 0.07470707229352114, 0.10118048956405877]","1_lag_10_median_mhfATL45, 14_lag_traEC, 7_lag_arcTSjfm, 12_lag_atlSICsep, 4_lag_traWP, 5_lag_tripol3_1885_1"
LinearRegression,2,6,traIT,slow,868.5,2005.5,0.6,17,1,1,11.198305828575014,-0.016227336730713082,2015,"['1_lag_traIT', '14_lag_traEC', '7_lag_arcTSjfm', '5_lag_tripol3', '4_lag_traWP', '12_lag_atlSICsep']","[0.08569063477454862, 0.060646036410176074, 0.10071250825554054, 0.10654288799890932, 0.046633150699808945, 0.11389191297242413]","1_lag_traIT, 14_lag_traEC, 7_lag_arcTSjfm, 5_lag_tripol3, 4_lag_traWP, 12_lag_atlSICsep_2015_1"
LinearRegression,3,6,traIT,slow,869.5,2005.5,0.6,18,1,1,11.169046220090006,0.04091555966276342,2145,"['17_lag_traDP', '1_lag_4_median_mhfIP30', '14_lag_traEC', '4_lag_traWP', '5_lag_tripol3', '12_lag_atlSICsep']","[0.06676918933168259, 0.057761657714226894, 0.06069515766315435, 0.03966842749449206, 0.10881631709862281, 0.11489085765380253]","17_lag_traDP, 1_lag_4_median_mhfIP30, 14_lag_traEC, 4_lag_traWP, 5_lag_tripol3, 12_lag_atlSICsep_2145_1"
LinearRegression,4,6,traIT,slow,870.5,2005.5,0.6,19,1,1,11.224240698818505,-0.04265371029768382,2275,"['16_lag_traMC', '18_lag_wnorPRjfm', '17_lag_traFB', '12_lag_atlSICsep', '1_lag_4_median_mhfIP30', '14_lag_traEC']","[0.1371549437413111, 0.047066623245548264, 0.024772303814343477, 0.11748004578872041, 0.04456009551755447, 0.050769939841502826]","16_lag_traMC, 18_lag_wnorPRjfm, 17_lag_traFB, 12_lag_atlSICsep, 1_lag_4_median_mhfIP30, 14_lag_traEC_2275_1"
LinearRegression,5,6,traIT,slow,871.5,2005.5,0.6,20,1,1,11.078500473127358,0.03100470810815439,2405,"['1_lag_4_median_mhfIP30', '12_lag_traTLS', '12_lag_atlSICsep', '1_lag_traIT', '19_lag_mhfATL45', '14_lag_traEC']","[0.029355934733773577, 0.055824082825107466, 0.1090389035357564, 0.07872150321291803, 0.0415814177809732, 0.05495449841266882]","1_lag_4_median_mhfIP30, 12_lag_traTLS, 12_lag_atlSICsep, 1_lag_traIT, 19_lag_mhfATL45, 14_lag_traEC_2405_1"
LinearRegression,6,6,traIT,slow,872.5,2005.5,0.6,21,1,1,11.216668397397322,-0.030815913364257333,2535,"['19_lag_traIT', '12_lag_atlSICsep', '14_lag_traEC', '17_lag_mhfATL30', '1_lag_traIT', '12_lag_traTLS']","[0.04966497840878776, 0.12091420185359049, 0.05417744552452279, 0.06061464565674747, 0.08735017648263407, 0.059988698111868605]","19_lag_traIT, 12_lag_atlSICsep, 14_lag_traEC, 17_lag_mhfATL30, 1_lag_traIT, 12_lag_traTLS_2535_1"
LinearRegression,7,6,traIT,slow,873.5,2005.5,0.6,22,1,1,11.132653557712377,0.008531218310286269,2665,"['9_lag_tripol3', '16_lag_shSICsep', '1_lag_traIT', '12_lag_traTLS', '19_lag_traIT', '12_lag_atlSICsep']","[0.09066725513439804, 0.11187283072872908, 0.07900535847043265, 0.058078012155967744, 0.04483518798176586, 0.12094615749329993]","9_lag_tripol3, 16_lag_shSICsep, 1_lag_traIT, 12_lag_traTLS, 19_lag_traIT, 12_lag_atlSICsep_2665_1"
LinearRegression,8,6,traIT,slow,874.5,2005.5,0.6,23,1,1,11.187274619929072,0.008678067959827247,2795,"['7_lag_atlSICjfm', '11_lag_mhfATL30', '16_lag_shSICsep', '14_lag_traEC', '1_lag_traIT', '12_lag_atlSICsep']","[0.008024679812366898, 0.09138341730789849, 0.11782508489728229, 0.05291267332829321, 0.07049297695590005, 0.1127405345364588]","7_lag_atlSICjfm, 11_lag_mhfATL30, 16_lag_shSICsep, 14_lag_traEC, 1_lag_traIT, 12_lag_atlSICsep_2795_1"
LinearRegression,9,6,traIT,slow,875.5,2005.5,0.6,24,1,1,10.957395344315273,0.05451667043373329,2925,"['1_lag_traIT', '5_lag_traTLS', '16_lag_traMC', '14_lag_traEC', '23_lag_traIT', '12_lag_atlSICsep']","[0.07121765664522985, 0.012881800861188716, 0.11922946526246364, 0.053207056868369365, 0.04891720203912843, 0.11462757321118006]","1_lag_traIT, 5_lag_traTLS, 16_lag_traMC, 14_lag_traEC, 23_lag_traIT, 12_lag_atlSICsep_2925_1"
