model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LinearRegression,0,10,traBO,picntrl,1714.5,2050.5,0.6,15,1,1,14.508048530905358,0.28865417010543143,1728,"['12_lag_traMC', '12_lag_stratZ50ndj01', '13_lag_ginwSSTjfm', '13_lag_alpi', '7_lag_stratZ50ndj02', '14_lag_eurPSLjfm', '11_lag_shSICmar', '4_lag_arcTSjfm', '1_lag_traWP', '1_lag_atlSICsep']","[0.12898542139517546, 0.08668205551634667, 0.21498724086353027, 0.03888575479985544, 0.06563901209111216, 0.1549428832872929, 0.10258115362215171, 0.09779305792978046, 0.034131418011541015, 0.2807658072134531]","12_lag_traMC, 12_lag_stratZ50ndj01, 13_lag_ginwSSTjfm, 13_lag_alpi, 7_lag_stratZ50ndj02, 14_lag_eurPSLjfm, 11_lag_shSICmar, 4_lag_arcTSjfm, 1_lag_traWP, 1_lag_atlSICsep_1728_1"
LinearRegression,1,10,traBO,picntrl,1715.5,2050.5,0.6,16,1,1,15.156597052345177,0.2260666233109802,1856,"['1_lag_stratZ50ndj04', '4_lag_scpPSLjfm', '11_lag_shSICmar', '7_lag_stratZ50ndj02', '11_lag_arcTSjfm', '11_lag_ormenSSTjfm', '3_lag_nhSICsep', '4_lag_arcTSjfm', '1_lag_traWP', '1_lag_atlSICsep']","[0.1095401094823573, 0.03144500032469427, 0.14463664530204703, 0.1096137755307381, 0.17650750149940525, 0.22852251742026586, 0.16855636281744824, 0.14551428995373736, 0.0602062880546131, 0.30274539010261287]","1_lag_stratZ50ndj04, 4_lag_scpPSLjfm, 11_lag_shSICmar, 7_lag_stratZ50ndj02, 11_lag_arcTSjfm, 11_lag_ormenSSTjfm, 3_lag_nhSICsep, 4_lag_arcTSjfm, 1_lag_traWP, 1_lag_atlSICsep_1856_1"
LinearRegression,2,10,traBO,picntrl,1716.5,2050.5,0.6,17,1,1,15.198569142723391,0.19068688193176864,1984,"['1_lag_stratZ50ndj04', '11_lag_arcTSjfm', '12_lag_stratZ50ndj01', '11_lag_ormenSSTjfm', '6_lag_tripol3', '1_lag_traWP', '16_lag_mhfATL60', '3_lag_nhSICsep', '4_lag_arcTSjfm', '1_lag_atlSICsep']","[0.09335774015246356, 0.15378238550893975, 0.038338675540011025, 0.23934235705998516, 0.08783571327840578, 0.031322464673656514, 0.05628157811295596, 0.1794256133157297, 0.1558662151312273, 0.31701969247799083]","1_lag_stratZ50ndj04, 11_lag_arcTSjfm, 12_lag_stratZ50ndj01, 11_lag_ormenSSTjfm, 6_lag_tripol3, 1_lag_traWP, 16_lag_mhfATL60, 3_lag_nhSICsep, 4_lag_arcTSjfm, 1_lag_atlSICsep_1984_1"
LinearRegression,3,10,traBO,picntrl,1717.5,2050.5,0.6,18,1,1,15.280408756232285,0.2038003473295702,2112,"['16_lag_amoSSTmjjaso', '16_lag_mhfATL60', '14_lag_nchinaPRjja', '11_lag_arcTSjfm', '3_lag_nhSICsep', '1_lag_traWP', '11_lag_ormenSSTjfm', '12_lag_stratZ50ndj01', '1_lag_atlSICsep', '4_lag_arcTSjfm']","[0.04002594407500609, 0.05159297231393149, 0.05420170440050765, 0.14771690921843195, 0.1773971931265415, 0.0340656289126141, 0.23473635173301396, 0.04669490812933509, 0.33056540704751664, 0.1575085929559065]","16_lag_amoSSTmjjaso, 16_lag_mhfATL60, 14_lag_nchinaPRjja, 11_lag_arcTSjfm, 3_lag_nhSICsep, 1_lag_traWP, 11_lag_ormenSSTjfm, 12_lag_stratZ50ndj01, 1_lag_atlSICsep, 4_lag_arcTSjfm_2112_1"
LinearRegression,4,10,traBO,picntrl,1718.5,2050.5,0.6,19,1,1,15.409656382372777,0.19113094733178093,2240,"['17_lag_stratZ50ndj04', '16_lag_amoSSTmjjaso', '16_lag_mhfATL60', '12_lag_traMC', '14_lag_nchinaPRjja', '3_lag_nhSICsep', '11_lag_ormenSSTjfm', '12_lag_stratZ50ndj01', '4_lag_arcTSjfm', '1_lag_atlSICsep']","[0.1235514663391434, 0.025149329151215705, 0.053342403036954936, 0.11856878178679212, 0.06258955608108493, 0.16831411571341526, 0.20686206821741104, 0.062413081670911134, 0.1442843743729405, 0.2954618446500498]","17_lag_stratZ50ndj04, 16_lag_amoSSTmjjaso, 16_lag_mhfATL60, 12_lag_traMC, 14_lag_nchinaPRjja, 3_lag_nhSICsep, 11_lag_ormenSSTjfm, 12_lag_stratZ50ndj01, 4_lag_arcTSjfm, 1_lag_atlSICsep_2240_1"
LinearRegression,5,10,traBO,picntrl,1719.5,2050.5,0.6,20,1,1,15.132505748353994,0.2224124669785427,2368,"['1_lag_stratZ50ndj03', '12_lag_traMC', '4_lag_arcTSjfm', '14_lag_nchinaPRjja', '12_lag_stratZ50ndj01', '11_lag_ormenSSTjfm', '1_lag_atlSICsep', '3_lag_nhSICsep', '19_lag_traWP', '19_lag_traBS']","[0.1443230793514135, 0.1390566305673809, 0.13034237620165606, 0.07047171467725517, 0.04738737043117945, 0.2143936648969828, 0.2156627955625225, 0.18354726969875695, 0.18225772521160427, 0.12065141516362336]","1_lag_stratZ50ndj03, 12_lag_traMC, 4_lag_arcTSjfm, 14_lag_nchinaPRjja, 12_lag_stratZ50ndj01, 11_lag_ormenSSTjfm, 1_lag_atlSICsep, 3_lag_nhSICsep, 19_lag_traWP, 19_lag_traBS_2368_1"
LinearRegression,6,10,traBO,picntrl,1720.5,2050.5,0.6,21,1,1,15.7639747061612,0.08580044844198195,2496,"['19_lag_traWP', '4_lag_stratZ50ndj02', '19_lag_traBS', '1_lag_stratZ50ndj03', '11_lag_ormenSSTjfm', '10_lag_eurPSLjfm', '3_lag_nhSICsep', '20_lag_traFB', '14_lag_nchinaPRjja', '12_lag_stratZ50ndj01']","[0.1953145579918145, 0.10109903482180649, 0.12955909087755146, 0.15419443371405678, 0.21731835339104097, 0.22154279254211062, 0.12910971663013115, 0.1165546480167522, 0.08376374470412515, 0.07881623097852043]","19_lag_traWP, 4_lag_stratZ50ndj02, 19_lag_traBS, 1_lag_stratZ50ndj03, 11_lag_ormenSSTjfm, 10_lag_eurPSLjfm, 3_lag_nhSICsep, 20_lag_traFB, 14_lag_nchinaPRjja, 12_lag_stratZ50ndj01_2496_1"
LinearRegression,7,10,traBO,picntrl,1721.5,2050.5,0.6,22,1,3,15.480591799013057,0.06816873583873981,2624,"['13_lag_nhSICjfm', '16_lag_amoSSTmjjaso', '18_lag_nchinaPRjja', '14_lag_nchinaPRjja', '11_lag_stratZ50ndj03', '4_lag_stratZ50ndj02', '3_lag_nhSICsep', '20_lag_traFB', '21_lag_tripol3', '12_lag_stratZ50ndj01']","[0.08705055812184782, 0.03482075240278748, 0.0707551122585748, 0.10009799814551212, 0.19075891626360242, 0.10286821715304592, 0.13010040125202824, 0.14000037291092926, 0.15605580845318615, 0.08593681938516162]","13_lag_nhSICjfm, 16_lag_amoSSTmjjaso, 18_lag_nchinaPRjja, 14_lag_nchinaPRjja, 11_lag_stratZ50ndj03, 4_lag_stratZ50ndj02, 3_lag_nhSICsep, 20_lag_traFB, 21_lag_tripol3, 12_lag_stratZ50ndj01_2624_3"
LinearRegression,8,10,traBO,picntrl,1722.5,2050.5,0.6,23,1,3,16.177432147147535,0.05815081337284113,2752,"['16_lag_amoSSTmjjaso', '21_lag_traEC', '19_lag_stratZ50ndj02', '9_lag_yrvPRjja', '11_lag_stratZ50ndj03', '3_lag_nhSICsep', '21_lag_tripol3', '20_lag_traFB', '4_lag_stratZ50ndj02', '12_lag_stratZ50ndj01']","[0.03168975940210052, 0.11355920970728872, 0.16390161717720939, 0.10048352036947582, 0.19816012742584654, 0.15416408721067792, 0.16545204083299975, 0.17376225820806737, 0.07591725053926213, 0.07894717491183223]","16_lag_amoSSTmjjaso, 21_lag_traEC, 19_lag_stratZ50ndj02, 9_lag_yrvPRjja, 11_lag_stratZ50ndj03, 3_lag_nhSICsep, 21_lag_tripol3, 20_lag_traFB, 4_lag_stratZ50ndj02, 12_lag_stratZ50ndj01_2752_3"
LinearRegression,9,10,traBO,picntrl,1723.5,2050.5,0.6,24,1,3,16.190826273671878,0.03401613425372582,2880,"['19_lag_stratZ50ndj02', '5_lag_traMC', '13_lag_nhSICjfm', '9_lag_yrvPRjja', '20_lag_traFB', '11_lag_stratZ50ndj03', '3_lag_nhSICsep', '4_lag_stratZ50ndj02', '23_lag_traEC', '12_lag_stratZ50ndj01']","[0.15187424239075464, 0.07391837095337617, 0.1345254053261014, 0.08522083081413812, 0.1246416664343402, 0.19621650360874282, 0.11318154019803858, 0.08174273862476468, 0.19613660135404393, 0.08674382362460213]","19_lag_stratZ50ndj02, 5_lag_traMC, 13_lag_nhSICjfm, 9_lag_yrvPRjja, 20_lag_traFB, 11_lag_stratZ50ndj03, 3_lag_nhSICsep, 4_lag_stratZ50ndj02, 23_lag_traEC, 12_lag_stratZ50ndj01_2880_3"
